tipo_celular,module_size,UQCRC2_MM,UQCRC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.168,57.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,282,0.252,80.0,241,2,0.83,2.51 (1.16-3.85),239,99.17,4.07 (3.82-4.33)
astrocytes 5,1141,0.105,18.0,166,10,6.02,1.68 (0.95-2.40),156,93.98,3.53 (3.27-3.78)
oligodendrocyte progenitor cells 7,4285,0.124,33.0,353,19,5.38,1.42 (0.96-1.87),334,94.62,4.07 (3.90-4.25)
GABA neurons expressing GLU receptors 22,848,0.338,83.0,262,4,1.53,0.72 (0.27-1.17),258,98.47,4.23 (3.99-4.47)
GLU like neurons 17,300,0.165,29.0,16,5,31.25,2.70 (2.17-3.23),11,68.75,1.74 (0.48-3.00)
da like neurons 11,215,0.171,43.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,417,0.167,55.0,213,33,15.49,2.44 (1.89-3.00),180,84.51,4.09 (3.85-4.33)
endothelial cells 9,586,0.084,13.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,253,0.152,45.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2402,0.19,38.0,455,32,7.03,2.56 (1.99-3.12),423,92.97,4.54 (4.35-4.72)
astrocytes 8,520,0.059,18.0,288,17,5.9,3.16 (2.48-3.84),271,94.1,4.26 (4.05-4.46)
oligodendrocyte progenitor cells 12,3303,0.076,48.0,276,11,3.99,1.99 (1.46-2.52),265,96.01,3.63 (3.40-3.85)
oligodendrocytes 10,735,0.134,70.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,92,0.295,58.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28)
astrocytes 15,1768,0.139,88.0,105,10,9.52,1.51 (1.03-1.99),95,90.48,3.41 (3.06-3.75)
oligodendrocytes 16,313,0.179,34.0,291,2,0.69,1.15 (-0.02-2.32),289,99.31,4.35 (4.13-4.58)
da neurons 6,409,0.234,85.0,235,19,8.09,3.18 (2.61-3.75),216,91.91,4.08 (3.81-4.35)
astrocytes microglia 23,76,0.27,30.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752,0.132,20.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,2078,0.128,79.0,238,1,0.42,0.21 (NA-NA),237,99.58,3.65 (3.43-3.87)
microglia 1,1615,0.095,28.0,161,17,10.56,1.36 (0.85-1.86),144,89.44,3.56 (3.29-3.82)
oligodendrocytes 3,457,0.057,12.0,345,1,0.29,1.29 (NA-NA),344,99.71,4.29 (4.08-4.49)
oligodendrocytes 2,921,0.138,50.0,200,1,0.5,1.74 (NA-NA),199,99.5,3.63 (3.37-3.90)
