tipo_celular,module_size,TNPO3_MM,TNPO3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.197,59.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,477,0.18,63.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141,0.086,5.0,166,9,5.42,2.38 (0.73-4.03),157,94.58,3.44 (3.20-3.69)
oligodendrocyte progenitor cells 7,4285,0.179,97.0,353,35,9.92,2.61 (2.02-3.20),318,90.08,4.04 (3.85-4.23)
GABA neurons expressing GLU receptors 22,823,0.312,97.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1316,0.137,62.0,101,2,1.98,3.15 (1.13-5.18),99,98.02,3.05 (2.69-3.41)
da like neurons 11,140,0.369,93.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,75,0.258,95.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46)
endothelial cells 9,1653,0.081,14.0,297,5,1.68,4.40 (4.17-4.63),292,98.32,3.66 (3.46-3.87)
oligodendrocytes 20,233,0.158,30.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052,0.156,65.0,125,3,2.4,4.52 (4.52-4.52),122,97.6,3.33 (3.00-3.66)
astrocytes 8,283,0.144,54.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303,0.115,87.0,276,25,9.06,3.15 (2.58-3.73),251,90.94,3.58 (3.35-3.82)
oligodendrocytes 10,2107,0.082,18.0,358,31,8.66,2.56 (1.91-3.21),327,91.34,3.99 (3.80-4.19)
connective tissue cells 21,139,0.274,32.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,338,0.157,55.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,158,0.18,37.0,30,2,6.67,3.03 (0.90-5.17),28,93.33,2.27 (1.59-2.96)
da neurons 6,518,0.104,44.0,122,24,19.67,2.54 (1.96-3.12),98,80.33,4.46 (4.03-4.90)
astrocytes microglia 23,114,0.275,31.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.153,55.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078,0.135,89.0,238,10,4.2,3.35 (2.25-4.44),228,95.8,3.65 (3.42-3.87)
microglia 1,813,0.105,34.0,79,2,2.53,3.03 (1.47-4.59),77,97.47,3.10 (2.69-3.52)
oligodendrocytes 3,854,0.059,14.0,76,4,5.26,3.35 (1.29-5.42),72,94.74,2.74 (2.42-3.07)
oligodendrocytes 2,921,0.135,45.0,200,18,9.0,3.79 (3.30-4.29),182,91.0,3.61 (3.32-3.89)
