tipo_celular,module_size,ETNK1_MM,ETNK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.091,6.0,140,0,0.0,NA,140,100.0,4.51 (4.08-4.93)
T cells 18,610,0.204,81.0,98,11,11.22,2.11 (1.19-3.03),87,88.78,3.26 (2.94-3.59)
astrocytes 5,423,0.269,91.0,80,1,1.25,3.78 (NA-NA),79,98.75,3.40 (2.92-3.88)
oligodendrocyte progenitor cells 7,666,0.248,85.0,127,3,2.36,4.08 (2.90-5.26),124,97.64,3.82 (3.48-4.17)
GABA neurons expressing GLU receptors 22,1069,0.209,80.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,637,0.143,44.0,91,5,5.49,1.38 (0.16-2.59),86,94.51,4.79 (4.28-5.30)
da like neurons 11,265,0.165,40.0,4,1,25.0,2.68 (NA-NA),3,75.0,1.50 (-0.93-3.93)
GABA neurons expressing GABA receptors 13,200,0.175,64.0,34,0,0.0,NA,34,100.0,3.89 (3.01-4.76)
endothelial cells 9,412,0.131,29.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,358,0.285,89.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,2402,0.216,46.0,455,8,1.76,1.55 (0.57-2.52),447,98.24,4.41 (4.23-4.59)
astrocytes 8,577,0.104,63.0,83,1,1.2,2.53 (NA-NA),82,98.8,3.26 (2.81-3.72)
oligodendrocyte progenitor cells 12,218,0.279,55.0,1,1,100.0,2.68 (NA-NA),0,0.0,NA
oligodendrocytes 10,2107,0.153,52.0,358,15,4.19,2.23 (1.36-3.09),343,95.81,3.96 (3.77-4.15)
connective tissue cells 21,126,0.225,16.0,7,1,14.29,0.82 (NA-NA),6,85.71,1.64 (0.49-2.79)
astrocytes 15,261,0.132,39.0,8,2,25.0,1.89 (-1.31-5.09),6,75.0,4.39 (1.96-6.83)
oligodendrocytes 16,81,0.167,45.0,3,0,0.0,NA,3,100.0,NA
da neurons 6,307,0.105,35.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,327,0.342,55.0,120,8,6.67,1.97 (1.03-2.90),112,93.33,3.76 (3.46-4.06)
astrocytes 4,514,0.28,82.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,1186,0.16,75.0,300,3,1.0,3.97 (3.78-4.16),297,99.0,3.79 (3.58-4.00)
microglia 1,958,0.17,95.0,290,2,0.69,3.48 (3.47-3.49),288,99.31,3.82 (3.59-4.05)
oligodendrocytes 3,1003,0.121,71.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804,0.151,50.0,84,8,9.52,2.39 (1.31-3.47),76,90.48,2.73 (2.38-3.08)
