tipo_celular,module_size,NEFM_MM,NEFM_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.464,97.0,140,9,6.43,4.68 (4.24-5.12),131,93.57,4.49 (4.05-4.94)
T cells 18,282,0.641,100.0,241,1,0.41,2.23 (NA-NA),240,99.59,4.07 (3.81-4.32)
astrocytes 5,228,0.497,99.0,266,24,9.02,3.30 (2.42-4.18),242,90.98,4.20 (3.99-4.41)
oligodendrocyte progenitor cells 7,296,0.565,100.0,251,7,2.79,4.72 (4.23-5.21),244,97.21,4.05 (3.80-4.29)
GABA neurons expressing GLU receptors 22,848,0.267,69.0,262,17,6.49,3.35 (2.34-4.36),245,93.51,4.22 (3.97-4.47)
GLU like neurons 17,1316,0.257,99.0,101,3,2.97,2.85 (NA-NA),98,97.03,3.05 (2.70-3.41)
da like neurons 11,1220,0.543,99.0,410,11,2.68,3.14 (1.83-4.45),399,97.32,4.27 (4.08-4.46)
GABA neurons expressing GABA receptors 13,357,0.504,100.0,237,6,2.53,5.16 (NA-NA),231,97.47,4.40 (4.17-4.64)
endothelial cells 9,338,0.557,99.0,191,2,1.05,3.86 (0.66-7.07),189,98.95,3.89 (3.66-4.11)
oligodendrocytes 20,322,0.078,28.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2402,0.384,78.0,455,12,2.64,1.76 (0.89-2.62),443,97.36,4.42 (4.24-4.61)
astrocytes 8,520,0.57,100.0,288,16,5.56,4.12 (3.20-5.04),272,94.44,4.17 (3.97-4.38)
oligodendrocyte progenitor cells 12,3303,0.149,98.0,276,6,2.17,1.90 (1.19-2.60),270,97.83,3.59 (3.37-3.81)
oligodendrocytes 10,806,0.671,100.0,261,16,6.13,4.72 (4.22-5.21),245,93.87,4.34 (4.09-4.60)
connective tissue cells 21,101,0.425,79.0,116,18,15.52,4.23 (3.42-5.05),98,84.48,4.67 (4.21-5.14)
astrocytes 15,261,0.366,97.0,8,4,50.0,1.64 (-0.94-4.21),4,50.0,5.21 (3.18-7.24)
oligodendrocytes 16,313,0.619,99.0,291,10,3.44,4.17 (2.88-5.46),281,96.56,4.33 (4.10-4.56)
da neurons 6,300,0.242,75.0,159,1,0.63,NA,158,99.37,4.36 (4.06-4.67)
astrocytes microglia 23,70,0.534,95.0,76,10,13.16,4.79 (4.37-5.22),66,86.84,4.10 (3.50-4.70)
astrocytes 4,157,0.461,93.0,178,19,10.67,3.29 (2.25-4.33),159,89.33,4.25 (3.97-4.52)
oligodendrocytes 0,116,0.372,87.0,169,5,2.96,5.10 (4.80-5.39),164,97.04,4.25 (3.94-4.55)
microglia 1,214,0.517,98.0,227,10,4.41,4.74 (4.33-5.15),217,95.59,4.06 (3.82-4.31)
oligodendrocytes 3,457,0.467,99.0,345,17,4.93,3.85 (3.06-4.65),328,95.07,4.29 (4.08-4.51)
oligodendrocytes 2,99,0.431,84.0,116,1,0.86,NA,115,99.14,3.96 (3.66-4.26)
