tipo_celular,module_size,SUCLG1_MM,SUCLG1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.266,79.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,282,0.227,82.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,1656,0.118,53.0,136,2,1.47,1.39 (1.08-1.71),134,98.53,3.24 (2.97-3.51)
oligodendrocyte progenitor cells 7,628,0.157,45.0,164,4,2.44,3.28 (3.18-3.38),160,97.56,4.11 (3.78-4.45)
GABA neurons expressing GLU receptors 22,1069,0.034,1.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,229,0.21,57.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,120,0.074,9.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,265,0.083,5.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,916,0.068,4.0,302,10,3.31,3.00 (2.28-3.72),292,96.69,4.03 (3.79-4.26)
oligodendrocytes 20,358,0.223,78.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,2402,0.226,49.0,455,28,6.15,2.06 (1.58-2.54),427,93.85,4.56 (4.37-4.74)
astrocytes 8,520,0.039,6.0,288,15,5.21,2.88 (2.32-3.44),273,94.79,4.27 (4.06-4.47)
oligodendrocyte progenitor cells 12,3303,0.08,52.0,276,21,7.61,2.24 (1.70-2.77),255,92.39,3.68 (3.45-3.90)
oligodendrocytes 10,735,0.094,49.0,277,7,2.53,3.66 (3.40-3.93),270,97.47,3.90 (3.65-4.15)
connective tissue cells 21,139,0.318,57.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,1768,0.079,43.0,105,15,14.29,1.72 (1.24-2.20),90,85.71,3.49 (3.13-3.84)
oligodendrocytes 16,51,0.209,26.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA)
da neurons 6,409,0.172,72.0,235,20,8.51,3.10 (2.40-3.80),215,91.49,4.09 (3.83-4.36)
astrocytes microglia 23,94,0.284,26.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.14,40.0,104,17,16.35,1.63 (1.18-2.07),87,83.65,3.13 (2.83-3.42)
oligodendrocytes 0,2078,0.116,54.0,238,5,2.1,2.52 (0.84-4.21),233,97.9,3.66 (3.44-3.89)
microglia 1,1615,0.094,26.0,161,22,13.66,1.31 (0.95-1.67),139,86.34,3.67 (3.41-3.92)
oligodendrocytes 3,743,0.068,30.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528,0.141,15.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73)
