tipo_celular,module_size,ORMDL1_MM,ORMDL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178,0.236,59.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,393,0.09,7.0,59,2,3.39,3.21 (2.29-4.12),57,96.61,3.10 (2.58-3.62)
astrocytes 5,1656,0.145,91.0,136,8,5.88,3.42 (2.41-4.42),128,94.12,3.19 (2.91-3.48)
oligodendrocyte progenitor cells 7,628,0.165,50.0,164,7,4.27,3.46 (2.75-4.17),157,95.73,4.12 (3.78-4.47)
GABA neurons expressing GLU receptors 22,848,0.155,25.0,262,12,4.58,2.38 (1.58-3.18),250,95.42,4.28 (4.03-4.53)
GLU like neurons 17,300,0.166,29.0,16,0,0.0,NA,16,100.0,2.08 (1.23-2.93)
da like neurons 11,168,0.087,21.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,73,0.238,91.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17)
endothelial cells 9,916,0.075,6.0,302,10,3.31,2.60 (1.78-3.43),292,96.69,4.05 (3.82-4.28)
oligodendrocytes 20,221,0.145,25.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,2402,0.344,73.0,455,20,4.4,1.74 (1.14-2.33),435,95.6,4.51 (4.33-4.69)
astrocytes 8,603,0.046,18.0,89,5,5.62,1.10 (0.88-1.32),84,94.38,2.90 (2.54-3.26)
oligodendrocyte progenitor cells 12,1049,0.104,57.0,235,5,2.13,3.30 (2.32-4.29),230,97.87,3.84 (3.60-4.08)
oligodendrocytes 10,735,0.082,39.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,73,0.254,38.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,261,0.038,6.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64)
oligodendrocytes 16,113,0.156,33.0,11,3,27.27,3.82 (3.82-3.82),8,72.73,0.96 (0.19-1.74)
da neurons 6,729,0.095,20.0,182,3,1.65,1.86 (0.89-2.83),179,98.35,3.67 (3.42-3.93)
astrocytes microglia 23,78,0.302,34.0,3,0,0.0,NA,3,100.0,0.39 (0.24-0.54)
astrocytes 4,1807,0.16,78.0,104,15,14.42,2.22 (1.36-3.09),89,85.58,2.98 (2.69-3.27)
oligodendrocytes 0,86,0.136,35.0,2,0,0.0,NA,2,100.0,NA
microglia 1,1615,0.106,45.0,161,21,13.04,1.38 (0.94-1.82),140,86.96,3.63 (3.37-3.89)
oligodendrocytes 3,743,0.092,64.0,76,5,6.58,3.76 (3.68-3.85),71,93.42,3.11 (2.69-3.54)
oligodendrocytes 2,1630,0.149,66.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
