tipo_celular,module_size,TRAP1_MM,TRAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.166,55.0,97,5,5.15,5.19 (3.32-7.06),92,94.85,2.91 (2.53-3.30)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.077,7.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.134,48.0,353,43,12.18,1.97 (1.60-2.34),310,87.82,4.24 (4.06-4.42)
GABA neurons expressing GLU receptors 22,487.0,0.128,15.0,73,4,5.48,1.44 (1.34-1.53),69,94.52,2.84 (2.44-3.24)
GLU like neurons 17,300.0,0.229,81.0,16,5,31.25,2.70 (2.17-3.23),11,68.75,1.74 (0.48-3.00)
da like neurons 11,215.0,0.249,65.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,417.0,0.092,5.0,213,44,20.66,2.53 (1.89-3.18),169,79.34,4.12 (3.90-4.34)
endothelial cells 9,450.0,0.034,0.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,298.0,0.074,29.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2090.0,0.249,94.0,74,1,1.35,1.92 (NA-NA),73,98.65,2.96 (2.58-3.34)
astrocytes 8,1266.0,0.069,36.0,66,16,24.24,1.79 (1.17-2.41),50,75.76,3.79 (3.37-4.21)
oligodendrocyte progenitor cells 12,1049.0,0.098,53.0,235,15,6.38,3.85 (2.78-4.92),220,93.62,3.82 (3.58-4.06)
oligodendrocytes 10,735.0,0.052,13.0,277,3,1.08,4.03 (2.24-5.83),274,98.92,3.89 (3.65-4.14)
connective tissue cells 21,102.0,0.374,95.0,5,1,20.0,1.01 (NA-NA),4,80.0,1.57 (1.57-1.57)
astrocytes 15,261.0,0.052,10.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64)
oligodendrocytes 16,107.0,0.395,100.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28)
da neurons 6,409.0,0.076,14.0,235,19,8.09,2.59 (2.06-3.12),216,91.91,4.14 (3.88-4.40)
astrocytes microglia 23,115.0,0.247,15.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.139,38.0,104,22,21.15,1.85 (1.36-2.34),82,78.85,3.16 (2.86-3.47)
oligodendrocytes 0,2078.0,0.087,7.0,238,4,1.68,2.33 (0.83-3.82),234,98.32,3.66 (3.44-3.88)
microglia 1,813.0,0.109,43.0,79,2,2.53,2.25 (1.25-3.25),77,97.47,3.13 (2.71-3.54)
oligodendrocytes 3,681.0,0.036,2.0,87,29,33.33,1.97 (1.63-2.32),58,66.67,2.91 (2.57-3.26)
oligodendrocytes 2,1630.0,0.124,19.0,154,4,2.6,2.45 (1.87-3.04),150,97.4,3.27 (3.00-3.54)
