tipo_celular,module_size,WASL_MM,WASL_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178,0.218,50.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,477,0.148,41.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656,0.124,63.0,136,12,8.82,3.03 (2.36-3.70),124,91.18,3.23 (2.94-3.52)
oligodendrocyte progenitor cells 7,4285,0.135,50.0,353,69,19.55,2.37 (2.08-2.65),284,80.45,4.41 (4.23-4.59)
GABA neurons expressing GLU receptors 22,848,0.286,73.0,262,50,19.08,4.22 (3.62-4.82),212,80.92,4.14 (3.87-4.40)
GLU like neurons 17,1316,0.178,88.0,101,3,2.97,3.39 (2.71-4.08),98,97.03,3.04 (2.68-3.40)
da like neurons 11,140,0.159,26.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,90,0.138,31.0,4,2,50.0,2.99 (1.51-4.47),2,50.0,7.70 (7.70-7.70)
endothelial cells 9,385,0.095,40.0,275,54,19.64,2.03 (1.77-2.29),221,80.36,4.64 (4.38-4.90)
oligodendrocytes 20,358,0.158,52.0,31,8,25.81,3.52 (3.26-3.79),23,74.19,1.93 (1.47-2.40)
GABA like neurons 14,2402,0.217,47.0,455,48,10.55,2.61 (2.21-3.02),407,89.45,4.60 (4.42-4.79)
astrocytes 8,283,0.161,63.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303,0.131,94.0,276,54,19.57,2.46 (2.14-2.78),222,80.43,3.92 (3.67-4.16)
oligodendrocytes 10,806,0.156,50.0,261,49,18.77,4.44 (3.88-5.00),212,81.23,4.34 (4.08-4.61)
connective tissue cells 21,84,0.303,66.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,268,0.057,31.0,10,2,20.0,2.33 (1.53-3.13),8,80.0,4.14 (1.98-6.31)
oligodendrocytes 16,78,0.215,62.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.082,14.0,124,9,7.26,3.73 (2.40-5.06),115,92.74,4.22 (3.80-4.63)
astrocytes microglia 23,122,0.257,20.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,787,0.16,68.0,65,3,4.62,4.10 (2.88-5.33),62,95.38,2.89 (2.49-3.30)
oligodendrocytes 0,2078,0.139,93.0,238,21,8.82,2.69 (2.28-3.10),217,91.18,3.75 (3.51-3.98)
microglia 1,1615,0.112,54.0,161,51,31.68,2.14 (1.83-2.45),110,68.32,3.99 (3.68-4.29)
oligodendrocytes 3,854,0.076,33.0,76,2,2.63,2.13 (-1.64-5.89),74,97.37,2.80 (2.47-3.13)
oligodendrocytes 2,921,0.144,63.0,200,12,6.0,2.83 (2.27-3.40),188,94.0,3.68 (3.40-3.97)
