tipo_celular,module_size,TXNRD1_MM,TXNRD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.304,61.0,98,12,12.24,2.59 (1.53-3.65),86,87.76,3.29 (2.78-3.81)
T cells 18,506,0.578,97.0,225,12,5.33,2.59 (1.53-3.65),213,94.67,3.66 (3.41-3.92)
astrocytes 5,328,0.143,36.0,128,2,1.56,3.77 (NA-NA),126,98.44,3.57 (3.22-3.91)
oligodendrocyte progenitor cells 7,448,0.241,84.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,487,0.253,64.0,73,2,2.74,1.57 (1.57-1.57),71,97.26,2.79 (2.40-3.19)
GLU like neurons 17,637,0.114,29.0,91,9,9.89,0.97 (0.26-1.69),82,90.11,5.09 (4.64-5.54)
da like neurons 11,1220,0.241,68.0,410,14,3.41,2.96 (2.14-3.78),396,96.59,4.29 (4.10-4.48)
GABA neurons expressing GABA receptors 13,417,0.132,27.0,213,24,11.27,1.86 (1.19-2.53),189,88.73,3.99 (3.75-4.23)
endothelial cells 9,916,0.554,96.0,302,7,2.32,2.98 (1.65-4.32),295,97.68,4.01 (3.78-4.24)
oligodendrocytes 20,938,0.199,80.0,169,12,7.1,2.86 (1.64-4.08),157,92.9,3.52 (3.30-3.74)
GABA like neurons 14,2402,0.414,81.0,455,24,5.27,2.08 (1.42-2.74),431,94.73,4.49 (4.31-4.67)
astrocytes 8,603,0.178,87.0,89,1,1.12,1.23 (NA-NA),88,98.88,2.78 (2.43-3.14)
oligodendrocyte progenitor cells 12,1049,0.379,95.0,235,9,3.83,4.06 (3.60-4.52),226,96.17,3.82 (3.58-4.06)
oligodendrocytes 10,483,0.436,94.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81)
connective tissue cells 21,301,0.514,81.0,158,3,1.9,0.89 (0.22-1.56),155,98.1,4.32 (3.95-4.68)
astrocytes 15,1401,0.112,72.0,96,2,2.08,1.57 (1.57-1.57),94,97.92,3.67 (3.21-4.12)
oligodendrocytes 16,96,0.217,46.0,102,17,16.67,2.32 (1.63-3.02),85,83.33,3.53 (3.18-3.89)
da neurons 6,729,0.235,84.0,182,4,2.2,2.51 (0.66-4.36),178,97.8,3.66 (3.41-3.91)
astrocytes microglia 23,137,0.373,52.0,188,15,7.98,2.00 (1.30-2.70),173,92.02,4.64 (4.30-4.98)
astrocytes 4,721,0.076,1.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,546,0.295,89.0,252,26,10.32,2.16 (1.49-2.82),226,89.68,4.32 (4.07-4.56)
microglia 1,406,0.509,90.0,278,5,1.8,3.81 (3.73-3.89),273,98.2,4.37 (4.09-4.64)
oligodendrocytes 3,303,0.199,70.0,154,1,0.65,NA,153,99.35,3.62 (3.30-3.94)
oligodendrocytes 2,526,0.311,65.0,213,4,1.88,4.47 (NA-NA),209,98.12,3.98 (3.70-4.25)
