tipo_celular,module_size,RABGAP1L_MM,RABGAP1L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249,0.177,67.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,727,0.089,9.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1141,0.179,95.0,166,11,6.63,2.89 (1.44-4.34),155,93.37,3.43 (3.17-3.68)
oligodendrocyte progenitor cells 7,436,0.058,7.0,219,2,0.91,4.33 (4.33-4.33),217,99.09,5.22 (4.93-5.51)
GABA neurons expressing GLU receptors 22,459,0.16,52.0,165,3,1.82,0.90 (0.75-1.04),162,98.18,5.18 (4.85-5.51)
GLU like neurons 17,637,0.056,4.0,91,11,12.09,1.74 (0.58-2.90),80,87.91,5.09 (4.62-5.55)
da like neurons 11,142,0.442,93.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,288,0.138,32.0,93,10,10.75,3.24 (2.14-4.34),83,89.25,5.46 (4.95-5.97)
endothelial cells 9,1653,0.253,99.0,297,2,0.67,NA,295,99.33,3.67 (3.47-3.88)
oligodendrocytes 20,676,0.636,92.0,110,5,4.55,2.27 (0.62-3.92),105,95.45,5.18 (4.74-5.61)
GABA like neurons 14,1300,0.194,44.0,306,18,5.88,2.97 (2.14-3.81),288,94.12,5.27 (5.01-5.53)
astrocytes 8,771,0.159,58.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,411,0.223,61.0,103,0,0.0,NA,103,100.0,5.55 (5.16-5.93)
oligodendrocytes 10,2107,0.155,53.0,358,27,7.54,2.22 (1.51-2.93),331,92.46,4.02 (3.83-4.21)
connective tissue cells 21,183,0.174,13.0,32,1,3.12,0.87 (NA-NA),31,96.88,5.26 (4.67-5.86)
astrocytes 15,443,0.129,34.0,9,2,22.22,0.95 (NA-NA),7,77.78,3.60 (2.32-4.88)
oligodendrocytes 16,287,0.346,60.0,105,5,4.76,2.27 (0.62-3.92),100,95.24,5.29 (4.87-5.72)
da neurons 6,553,0.179,77.0,124,3,2.42,2.17 (-1.29-5.63),121,97.58,4.23 (3.84-4.62)
astrocytes microglia 23,58,0.232,15.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752,0.166,68.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,261,0.21,67.0,42,6,14.29,2.09 (0.70-3.48),36,85.71,4.52 (3.83-5.20)
microglia 1,315,0.164,46.0,144,3,2.08,2.68 (NA-NA),141,97.92,4.47 (4.17-4.78)
oligodendrocytes 3,127,0.198,25.0,45,3,6.67,3.15 (0.83-5.46),42,93.33,4.47 (3.56-5.38)
oligodendrocytes 2,237,0.124,8.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
