tipo_celular,module_size,G3BP2_MM,G3BP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181,0.176,30.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,518,0.204,78.0,131,2,1.53,2.25 (NA-NA),129,98.47,3.08 (2.80-3.36)
astrocytes 5,228,0.209,67.0,266,20,7.52,2.38 (1.81-2.96),246,92.48,4.31 (4.10-4.51)
oligodendrocyte progenitor cells 7,296,0.202,63.0,251,2,0.8,3.65 (2.81-4.50),249,99.2,4.07 (3.83-4.31)
GABA neurons expressing GLU receptors 22,848,0.311,79.0,262,19,7.25,2.64 (1.77-3.50),243,92.75,4.28 (4.03-4.53)
GLU like neurons 17,1316,0.145,67.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,1220,0.22,63.0,410,14,3.41,2.75 (2.11-3.39),396,96.59,4.31 (4.12-4.50)
GABA neurons expressing GABA receptors 13,265,0.179,63.0,78,2,2.56,2.74 (1.28-4.20),76,97.44,4.41 (4.00-4.83)
endothelial cells 9,338,0.216,75.0,191,1,0.52,2.23 (NA-NA),190,99.48,3.90 (3.67-4.12)
oligodendrocytes 20,250,0.111,20.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402,0.337,72.0,455,30,6.59,2.19 (1.61-2.77),425,93.41,4.53 (4.35-4.71)
astrocytes 8,520,0.272,83.0,288,13,4.51,3.18 (2.44-3.92),275,95.49,4.23 (4.03-4.44)
oligodendrocyte progenitor cells 12,3303,0.101,75.0,276,44,15.94,2.18 (1.82-2.54),232,84.06,3.88 (3.65-4.11)
oligodendrocytes 10,806,0.311,81.0,261,5,1.92,3.34 (2.32-4.37),256,98.08,4.39 (4.15-4.64)
connective tissue cells 21,102,0.285,51.0,5,3,60.0,1.38 (1.02-1.75),2,40.0,NA
astrocytes 15,1768,0.065,28.0,105,22,20.95,1.86 (1.36-2.36),83,79.05,3.56 (3.20-3.93)
oligodendrocytes 16,313,0.275,68.0,291,8,2.75,2.79 (1.96-3.61),283,97.25,4.38 (4.16-4.61)
da neurons 6,300,0.176,57.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,70,0.234,22.0,76,1,1.32,4.08 (NA-NA),75,98.68,4.20 (3.68-4.73)
astrocytes 4,1807,0.125,16.0,104,22,21.15,1.78 (1.35-2.21),82,78.85,3.18 (2.88-3.49)
oligodendrocytes 0,2078,0.092,11.0,238,10,4.2,2.03 (1.59-2.48),228,95.8,3.72 (3.50-3.94)
microglia 1,214,0.193,54.0,227,0,0.0,NA,227,100.0,4.09 (3.86-4.33)
oligodendrocytes 3,457,0.151,65.0,345,15,4.35,3.11 (2.69-3.53),330,95.65,4.35 (4.13-4.57)
oligodendrocytes 2,528,0.171,30.0,175,4,2.29,3.09 (1.61-4.58),171,97.71,4.42 (4.07-4.78)
