tipo_celular,module_size,ARMC9_MM,ARMC9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.348,70.0,98,11,11.22,2.56 (1.55-3.58),87,88.78,3.29 (2.78-3.80)
T cells 18,506,0.466,93.0,225,17,7.56,2.46 (1.89-3.03),208,92.44,3.71 (3.45-3.97)
astrocytes 5,932,0.064,2.0,80,2,2.5,NA,78,97.5,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,448,0.138,48.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,487,0.23,56.0,73,2,2.74,1.57 (1.57-1.57),71,97.26,2.79 (2.40-3.19)
GLU like neurons 17,1247,0.144,58.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,59,0.297,61.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,417,0.162,50.0,213,18,8.45,1.81 (1.05-2.57),195,91.55,3.94 (3.69-4.18)
endothelial cells 9,916,0.54,95.0,302,5,1.66,2.67 (1.19-4.15),297,98.34,4.01 (3.78-4.24)
oligodendrocytes 20,938,0.215,84.0,169,11,6.51,2.39 (1.20-3.58),158,93.49,3.54 (3.32-3.76)
GABA like neurons 14,2402,0.146,23.0,455,15,3.3,1.95 (1.03-2.88),440,96.7,4.42 (4.24-4.61)
astrocytes 8,603,0.06,35.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,1049,0.29,91.0,235,7,2.98,3.80 (3.17-4.43),228,97.02,3.82 (3.59-4.06)
oligodendrocytes 10,483,0.383,90.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81)
connective tissue cells 21,104,0.224,19.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,1401,0.124,79.0,96,10,10.42,2.85 (2.14-3.55),86,89.58,3.72 (3.22-4.22)
oligodendrocytes 16,90,0.243,69.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729,0.228,83.0,182,4,2.2,2.22 (1.48-2.95),178,97.8,3.68 (3.42-3.93)
astrocytes microglia 23,108,0.287,27.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,721,0.14,28.0,61,3,4.92,2.12 (1.37-2.87),58,95.08,3.01 (2.58-3.44)
oligodendrocytes 0,546,0.127,25.0,252,14,5.56,1.83 (0.84-2.83),238,94.44,4.22 (3.97-4.46)
microglia 1,406,0.389,77.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63)
oligodendrocytes 3,303,0.18,66.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526,0.267,51.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
