tipo_celular,module_size,PIK3CB_MM,PIK3CB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.206,64.0,73,14,19.18,3.88 (3.58-4.18),59,80.82,3.47 (3.03-3.91)
T cells 18,624,0.156,53.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,499,0.12,21.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285,0.143,63.0,353,61,17.28,2.81 (2.36-3.26),292,82.72,4.20 (4.02-4.38)
GABA neurons expressing GLU receptors 22,1069,0.136,28.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,1316,0.101,29.0,101,4,3.96,5.24 (3.45-7.03),97,96.04,2.94 (2.60-3.28)
da like neurons 11,289,0.335,94.0,6,1,16.67,NA,5,83.33,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,200,0.123,25.0,34,2,5.88,3.53 (3.29-3.77),32,94.12,3.92 (2.96-4.88)
endothelial cells 9,1653,0.16,73.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,330,0.144,38.0,36,12,33.33,2.03 (1.71-2.35),24,66.67,1.86 (1.35-2.37)
GABA like neurons 14,1300,0.302,89.0,306,54,17.65,3.44 (3.01-3.87),252,82.35,5.67 (5.40-5.94)
astrocytes 8,354,0.159,71.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303,0.105,79.0,276,54,19.57,2.99 (2.54-3.44),222,80.43,3.73 (3.49-3.97)
oligodendrocytes 10,2107,0.199,69.0,358,62,17.32,2.43 (2.04-2.81),296,82.68,4.30 (4.11-4.48)
connective tissue cells 21,92,0.183,9.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28)
astrocytes 15,367,0.124,38.0,17,1,5.88,2.91 (NA-NA),16,94.12,2.03 (1.01-3.05)
oligodendrocytes 16,156,0.218,64.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,553,0.1,28.0,124,7,5.65,3.28 (2.19-4.37),117,94.35,4.26 (3.85-4.67)
astrocytes microglia 23,58,0.346,78.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.145,37.0,61,4,6.56,3.16 (1.50-4.82),57,93.44,2.95 (2.52-3.38)
oligodendrocytes 0,1186,0.133,31.0,300,22,7.33,3.88 (3.29-4.46),278,92.67,3.79 (3.57-4.00)
microglia 1,1615,0.107,46.0,161,54,33.54,2.58 (2.10-3.06),107,66.46,3.70 (3.41-3.98)
oligodendrocytes 3,639,0.124,71.0,15,11,73.33,3.01 (1.63-4.39),4,26.67,4.96 (-0.40-10.32)
oligodendrocytes 2,804,0.187,83.0,84,13,15.48,2.39 (1.60-3.18),71,84.52,2.76 (2.39-3.13)
