tipo_celular,module_size,SPART_MM,SPART_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.148,19.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,393,0.096,9.0,59,2,3.39,2.80 (2.68-2.92),57,96.61,3.12 (2.60-3.64)
astrocytes 5,1141,0.13,48.0,166,5,3.01,1.32 (0.25-2.38),161,96.99,3.47 (3.22-3.72)
oligodendrocyte progenitor cells 7,4285,0.109,16.0,353,17,4.82,1.44 (0.91-1.98),336,95.18,4.04 (3.86-4.22)
GABA neurons expressing GLU receptors 22,599,0.217,54.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,380,0.202,73.0,39,1,2.56,1.74 (NA-NA),38,97.44,3.00 (2.44-3.56)
da like neurons 11,408,0.066,4.0,25,5,20.0,0.98 (0.44-1.52),20,80.0,5.82 (4.60-7.04)
GABA neurons expressing GABA receptors 13,73,0.122,21.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17)
endothelial cells 9,586,0.101,19.0,62,1,1.61,2.43 (NA-NA),61,98.39,4.08 (3.63-4.53)
oligodendrocytes 20,275,0.149,30.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,2402,0.208,44.0,455,17,3.74,1.53 (0.86-2.20),438,96.26,4.47 (4.29-4.65)
astrocytes 8,218,0.18,75.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,708,0.127,57.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,735,0.063,23.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,116,0.23,20.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,1768,0.124,81.0,105,7,6.67,1.65 (0.95-2.35),98,93.33,3.33 (2.99-3.68)
oligodendrocytes 16,92,0.138,16.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518,0.117,58.0,122,9,7.38,1.16 (0.59-1.74),113,92.62,4.29 (3.91-4.67)
astrocytes microglia 23,67,0.276,31.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514,0.15,28.0,95,4,4.21,1.16 (0.64-1.68),91,95.79,3.50 (3.07-3.92)
oligodendrocytes 0,1186,0.167,85.0,300,8,2.67,3.67 (3.05-4.29),292,97.33,3.80 (3.59-4.01)
microglia 1,346,0.125,35.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,1003,0.11,64.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,528,0.123,9.0,175,5,2.86,3.72 (0.38-7.06),170,97.14,4.40 (4.04-4.75)
