tipo_celular,module_size,CHCHD3_MM,CHCHD3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.165,55.0,97,1,1.03,2.86 (NA-NA),96,98.97,3.06 (2.66-3.45)
T cells 18,506,0.123,20.0,225,17,7.56,2.36 (1.82-2.91),208,92.44,3.72 (3.46-3.98)
astrocytes 5,1141,0.111,23.0,166,3,1.81,0.43 (0.21-0.66),163,98.19,3.46 (3.21-3.70)
oligodendrocyte progenitor cells 7,448,0.204,79.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,823,0.176,48.0,23,1,4.35,3.78 (NA-NA),22,95.65,2.31 (1.57-3.06)
GLU like neurons 17,1316,0.122,48.0,101,2,1.98,3.93 (0.38-7.49),99,98.02,3.03 (2.68-3.38)
da like neurons 11,140,0.358,90.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,77,0.227,82.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,916,0.215,53.0,302,18,5.96,2.82 (2.20-3.44),284,94.04,4.08 (3.85-4.32)
oligodendrocytes 20,938,0.167,69.0,169,19,11.24,2.26 (1.68-2.85),150,88.76,3.62 (3.39-3.84)
GABA like neurons 14,2402,0.184,36.0,455,29,6.37,2.22 (1.66-2.78),426,93.63,4.52 (4.33-4.70)
astrocytes 8,283,0.198,79.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,138,0.476,58.0,5,0,0.0,NA,5,100.0,4.33 (4.33-4.33)
oligodendrocytes 10,483,0.304,83.0,129,2,1.55,4.11 (3.81-4.41),127,98.45,3.41 (3.02-3.81)
connective tissue cells 21,142,0.182,3.0,55,5,9.09,1.93 (0.19-3.68),50,90.91,3.74 (2.83-4.65)
astrocytes 15,1768,0.138,87.0,105,9,8.57,1.59 (0.91-2.27),96,91.43,3.38 (3.03-3.72)
oligodendrocytes 16,156,0.202,55.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,729,0.166,58.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,253,0.284,70.0,47,1,2.13,3.78 (NA-NA),46,97.87,2.82 (2.49-3.16)
astrocytes 4,752,0.129,18.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,1186,0.122,18.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,406,0.221,58.0,278,1,0.36,2.61 (NA-NA),277,99.64,4.37 (4.10-4.64)
oligodendrocytes 3,1003,0.094,49.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,526,0.066,1.0,213,9,4.23,3.39 (2.61-4.17),204,95.77,4.01 (3.73-4.30)
