tipo_celular,module_size,SPARCL1_MM,SPARCL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.201,44.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,282,0.058,1.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,156,0.177,71.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,628,0.313,91.0,164,5,3.05,4.75 (3.72-5.77),159,96.95,4.06 (3.72-4.39)
GABA neurons expressing GLU receptors 22,599,0.559,100.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,685,0.169,68.0,135,3,2.22,2.18 (0.37-3.99),132,97.78,3.22 (2.91-3.53)
da like neurons 11,408,0.11,26.0,25,3,12.0,2.46 (-0.36-5.28),22,88.0,4.99 (3.58-6.41)
GABA neurons expressing GABA receptors 13,266,0.326,95.0,118,0,0.0,NA,118,100.0,4.74 (4.38-5.09)
endothelial cells 9,559,0.401,92.0,155,1,0.65,5.16 (NA-NA),154,99.35,4.33 (3.96-4.70)
oligodendrocytes 20,271,0.134,30.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,3052,0.214,95.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,279,0.187,17.0,78,2,2.56,2.88 (2.28-3.48),76,97.44,4.36 (3.94-4.78)
oligodendrocyte progenitor cells 12,153,0.503,89.0,27,1,3.7,0.95 (NA-NA),26,96.3,5.08 (4.23-5.92)
oligodendrocytes 10,806,0.112,32.0,261,2,0.77,2.99 (1.51-4.47),259,99.23,4.38 (4.14-4.62)
connective tissue cells 21,142,0.331,57.0,55,6,10.91,2.24 (0.69-3.78),49,89.09,3.74 (2.79-4.69)
astrocytes 15,418,0.182,57.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,149,0.151,25.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12)
da neurons 6,398,0.11,27.0,138,4,2.9,1.64 (0.22-3.07),134,97.1,4.94 (4.57-5.30)
astrocytes microglia 23,122,0.246,32.0,46,0,0.0,NA,46,100.0,5.03 (4.47-5.59)
astrocytes 4,161,0.209,65.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,2078,0.057,1.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,127,0.094,8.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87)
oligodendrocytes 3,94,0.257,88.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,1630,0.121,15.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
