tipo_celular,module_size,MTURN_MM,MTURN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.188,70.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,349,0.235,67.0,68,3,4.41,0.90 (0.75-1.04),65,95.59,4.58 (4.05-5.12)
astrocytes 5,499,0.098,8.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,229,0.151,29.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,848,0.357,86.0,262,6,2.29,2.61 (0.69-4.53),256,97.71,4.21 (3.96-4.45)
GLU like neurons 17,637,0.198,63.0,91,8,8.79,2.13 (1.06-3.20),83,91.21,4.86 (4.34-5.39)
da like neurons 11,1220,0.12,25.0,410,1,0.24,0.55 (NA-NA),409,99.76,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,238,0.17,55.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,450,0.06,3.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,330,0.133,30.0,36,12,33.33,1.86 (1.62-2.11),24,66.67,1.95 (1.43-2.48)
GABA like neurons 14,2402,0.226,49.0,455,8,1.76,0.91 (0.65-1.17),447,98.24,4.43 (4.25-4.61)
astrocytes 8,771,0.123,50.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708,0.168,71.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,806,0.087,21.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,126,0.318,70.0,7,3,42.86,1.36 (0.78-1.94),4,57.14,1.65 (-0.44-3.74)
astrocytes 15,458,0.112,59.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,69,0.17,30.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.234,90.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58)
astrocytes microglia 23,39,0.293,35.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.099,1.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,613,0.147,55.0,127,11,8.66,1.84 (1.61-2.06),116,91.34,3.24 (2.78-3.71)
microglia 1,1615,0.16,93.0,161,28,17.39,1.72 (1.43-2.01),133,82.61,3.69 (3.41-3.97)
oligodendrocytes 3,854,0.101,62.0,76,1,1.32,0.21 (NA-NA),75,98.68,2.82 (2.49-3.14)
oligodendrocytes 2,131,0.132,18.0,20,2,10.0,2.42 (2.37-2.47),18,90.0,4.81 (4.10-5.52)
