tipo_celular,module_size,NFAT5_MM,NFAT5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.166,38.0,102,32,31.37,2.40 (1.98-2.81),70,68.63,4.04 (3.60-4.49)
T cells 18,624,0.131,31.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,222,0.174,35.0,98,3,3.06,2.40 (0.37-4.43),95,96.94,4.68 (4.28-5.09)
oligodendrocyte progenitor cells 7,448,0.111,27.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,1069,0.143,34.0,37,4,10.81,2.06 (1.60-2.51),33,89.19,2.17 (1.65-2.69)
GLU like neurons 17,300,0.191,53.0,16,6,37.5,2.38 (1.62-3.14),10,62.5,1.86 (0.45-3.27)
da like neurons 11,215,0.329,83.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,265,0.103,13.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,412,0.217,66.0,141,12,8.51,2.20 (1.59-2.81),129,91.49,3.03 (2.77-3.28)
oligodendrocytes 20,358,0.16,54.0,31,5,16.13,3.17 (2.70-3.64),26,83.87,2.23 (1.76-2.71)
GABA like neurons 14,1300,0.185,40.0,306,19,6.21,2.48 (1.87-3.09),287,93.79,5.34 (5.09-5.60)
astrocytes 8,279,0.334,83.0,78,12,15.38,2.54 (2.11-2.97),66,84.62,4.66 (4.23-5.10)
oligodendrocyte progenitor cells 12,153,0.45,69.0,27,1,3.7,0.95 (NA-NA),26,96.3,5.08 (4.23-5.92)
oligodendrocytes 10,2107,0.255,83.0,358,70,19.55,2.03 (1.79-2.28),288,80.45,4.50 (4.33-4.68)
connective tissue cells 21,147,0.175,19.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,418,0.314,72.0,54,3,5.56,3.53 (3.35-3.70),51,94.44,3.69 (3.23-4.16)
oligodendrocytes 16,91,0.211,57.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49)
da neurons 6,398,0.201,67.0,138,20,14.49,2.44 (1.87-3.02),118,85.51,5.32 (4.96-5.67)
astrocytes microglia 23,327,0.143,1.0,120,33,27.5,2.71 (2.12-3.30),87,72.5,4.04 (3.74-4.34)
astrocytes 4,514,0.093,2.0,95,5,5.26,1.30 (0.81-1.78),90,94.74,3.52 (3.09-3.95)
oligodendrocytes 0,1186,0.159,73.0,300,15,5.0,3.23 (2.92-3.54),285,95.0,3.83 (3.61-4.05)
microglia 1,480,0.172,41.0,163,19,11.66,4.03 (3.34-4.71),144,88.34,3.66 (3.37-3.95)
oligodendrocytes 3,854,0.112,74.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,804,0.172,71.0,84,8,9.52,1.93 (0.73-3.13),76,90.48,2.79 (2.45-3.13)
