tipo_celular,module_size,MTMR9_MM,MTMR9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211,0.135,34.0,47,0,0.0,NA,47,100.0,2.59 (2.10-3.08)
T cells 18,610,0.099,13.0,98,19,19.39,2.51 (1.57-3.45),79,80.61,3.28 (2.97-3.58)
astrocytes 5,1656,0.144,90.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285,0.167,92.0,353,29,8.22,3.22 (2.30-4.13),324,91.78,3.96 (3.78-4.14)
GABA neurons expressing GLU receptors 22,599,0.261,73.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,1316,0.087,16.0,101,3,2.97,6.15 (5.81-6.48),98,97.03,2.93 (2.60-3.27)
da like neurons 11,197,0.087,6.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,200,0.105,11.0,34,1,2.94,3.68 (NA-NA),33,97.06,3.90 (2.98-4.81)
endothelial cells 9,338,0.106,36.0,191,4,2.09,5.54 (4.33-6.76),187,97.91,3.84 (3.62-4.06)
oligodendrocytes 20,322,0.06,19.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2402,0.203,42.0,455,15,3.3,3.05 (1.86-4.25),440,96.7,4.40 (4.22-4.59)
astrocytes 8,520,0.069,24.0,288,11,3.82,3.76 (2.49-5.04),277,96.18,4.19 (3.99-4.39)
oligodendrocyte progenitor cells 12,3303,0.106,80.0,276,33,11.96,3.69 (2.79-4.59),243,88.04,3.52 (3.31-3.73)
oligodendrocytes 10,806,0.134,41.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,101,0.344,79.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 15,1768,0.092,55.0,105,13,12.38,2.42 (1.32-3.52),92,87.62,3.34 (2.99-3.68)
oligodendrocytes 16,74,0.218,64.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA)
da neurons 6,307,0.122,52.0,95,4,4.21,4.28 (1.61-6.95),91,95.79,4.86 (4.42-5.31)
astrocytes microglia 23,135,0.272,23.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.164,83.0,104,8,7.69,1.20 (0.51-1.89),96,92.31,3.01 (2.73-3.29)
oligodendrocytes 0,2078,0.124,70.0,238,6,2.52,3.85 (2.08-5.62),232,97.48,3.63 (3.41-3.85)
microglia 1,958,0.096,25.0,290,10,3.45,2.39 (1.53-3.25),280,96.55,3.88 (3.65-4.11)
oligodendrocytes 3,743,0.073,38.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,921,0.147,68.0,200,2,1.0,6.49 (NA-NA),198,99.0,3.60 (3.34-3.87)
