tipo_celular,module_size,C6orf106_MM,C6orf106_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218,0.176,27.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,477,0.173,57.0,43,1,2.33,NA,42,97.67,2.03 (1.52-2.53)
astrocytes 5,423,0.096,12.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,4285,0.14,57.0,353,53,15.01,2.47 (1.99-2.95),300,84.99,4.17 (3.99-4.35)
GABA neurons expressing GLU receptors 22,823,0.183,52.0,23,4,17.39,1.01 (NA-NA),19,82.61,2.48 (1.73-3.23)
GLU like neurons 17,1247,0.091,19.0,51,2,3.92,2.00 (NA-NA),49,96.08,3.66 (3.08-4.25)
da like neurons 11,97,0.186,50.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,77,0.28,95.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,412,0.08,8.0,141,10,7.09,3.46 (2.15-4.76),131,92.91,2.92 (2.68-3.15)
oligodendrocytes 20,938,0.134,53.0,169,8,4.73,2.43 (1.37-3.50),161,95.27,3.54 (3.32-3.76)
GABA like neurons 14,2090,0.16,55.0,74,2,2.7,NA,72,97.3,2.94 (2.57-3.32)
astrocytes 8,262,0.128,46.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303,0.077,49.0,276,33,11.96,2.09 (1.70-2.49),243,88.04,3.76 (3.53-3.98)
oligodendrocytes 10,735,0.103,55.0,277,4,1.44,6.49 (NA-NA),273,98.56,3.88 (3.64-4.12)
connective tissue cells 21,106,0.407,96.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,1401,0.047,14.0,96,10,10.42,3.52 (2.23-4.80),86,89.58,3.62 (3.14-4.11)
oligodendrocytes 16,64,0.246,75.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.212,87.0,124,2,1.61,2.17 (-1.29-5.63),122,98.39,4.23 (3.84-4.62)
astrocytes microglia 23,76,0.267,27.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514,0.124,13.0,95,6,6.32,2.92 (0.69-5.15),89,93.68,3.41 (2.99-3.83)
oligodendrocytes 0,2078,0.111,43.0,238,12,5.04,3.94 (2.24-5.64),226,94.96,3.62 (3.40-3.84)
microglia 1,480,0.175,42.0,163,2,1.23,4.25 (3.72-4.78),161,98.77,3.70 (3.43-3.97)
oligodendrocytes 3,187,0.057,12.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,1630,0.133,32.0,154,2,1.3,NA,152,98.7,3.24 (2.98-3.51)
