tipo_celular,module_size,TUBB_MM,TUBB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159,0.198,42.0,18,1,5.56,4.08 (NA-NA),17,94.44,1.92 (1.48-2.35)
T cells 18,282,0.247,79.0,241,12,4.98,4.05 (2.86-5.25),229,95.02,4.05 (3.80-4.31)
astrocytes 5,228,0.312,89.0,266,58,21.8,3.22 (2.69-3.74),208,78.2,4.35 (4.14-4.57)
oligodendrocyte progenitor cells 7,296,0.318,89.0,251,16,6.37,4.63 (4.04-5.22),235,93.63,4.03 (3.78-4.28)
GABA neurons expressing GLU receptors 22,848,0.431,94.0,262,43,16.41,3.16 (2.59-3.74),219,83.59,4.33 (4.06-4.59)
GLU like neurons 17,685,0.122,43.0,135,15,11.11,2.02 (1.44-2.60),120,88.89,3.30 (2.98-3.62)
da like neurons 11,1220,0.518,98.0,410,46,11.22,3.34 (2.81-3.88),364,88.78,4.33 (4.14-4.53)
GABA neurons expressing GABA receptors 13,265,0.214,74.0,78,7,8.97,2.50 (1.96-3.05),71,91.03,4.53 (4.11-4.95)
endothelial cells 9,559,0.197,64.0,155,6,3.87,4.43 (1.89-6.97),149,96.13,4.33 (3.97-4.70)
oligodendrocytes 20,938,0.132,53.0,169,27,15.98,2.65 (2.02-3.28),142,84.02,3.57 (3.34-3.80)
GABA like neurons 14,2402,0.731,100.0,455,49,10.77,2.58 (2.03-3.13),406,89.23,4.53 (4.34-4.71)
astrocytes 8,520,0.408,95.0,288,38,13.19,3.70 (3.12-4.29),250,86.81,4.23 (4.02-4.44)
oligodendrocyte progenitor cells 12,708,0.095,43.0,32,11,34.38,1.47 (0.71-2.24),21,65.62,4.23 (3.32-5.14)
oligodendrocytes 10,806,0.372,87.0,261,41,15.71,3.82 (3.32-4.32),220,84.29,4.46 (4.19-4.73)
connective tissue cells 21,301,0.477,76.0,158,18,11.39,3.26 (2.27-4.26),140,88.61,4.37 (3.98-4.75)
astrocytes 15,268,0.022,1.0,10,1,10.0,2.74 (NA-NA),9,90.0,3.83 (1.90-5.76)
oligodendrocytes 16,313,0.362,82.0,291,47,16.15,3.53 (3.04-4.03),244,83.85,4.48 (4.24-4.72)
da neurons 6,409,0.153,64.0,235,25,10.64,3.55 (2.70-4.41),210,89.36,4.02 (3.75-4.28)
astrocytes microglia 23,70,0.414,80.0,76,16,21.05,5.09 (4.53-5.64),60,78.95,3.84 (3.18-4.49)
astrocytes 4,157,0.252,70.0,178,40,22.47,3.26 (2.68-3.84),138,77.53,4.44 (4.15-4.72)
oligodendrocytes 0,116,0.192,64.0,169,13,7.69,4.64 (3.51-5.76),156,92.31,4.24 (3.93-4.55)
microglia 1,214,0.274,77.0,227,24,10.57,4.14 (3.60-4.68),203,89.43,4.09 (3.83-4.34)
oligodendrocytes 3,457,0.306,93.0,345,52,15.07,3.52 (3.07-3.96),293,84.93,4.41 (4.18-4.64)
oligodendrocytes 2,526,0.308,63.0,213,1,0.47,2.97 (NA-NA),212,99.53,3.99 (3.71-4.26)
