tipo_celular,module_size,ASPH_MM,ASPH_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.224,80.0,97,8,8.25,4.00 (3.12-4.88),89,91.75,2.95 (2.53-3.37)
T cells 18,282,0.144,26.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,222,0.233,63.0,98,3,3.06,1.76 (0.79-2.74),95,96.94,4.71 (4.30-5.11)
oligodendrocyte progenitor cells 7,448,0.135,46.0,108,2,1.85,4.23 (1.75-6.71),106,98.15,3.23 (2.78-3.68)
GABA neurons expressing GLU receptors 22,823,0.209,70.0,23,2,8.7,2.11 (-0.05-4.28),21,91.3,2.43 (1.64-3.22)
GLU like neurons 17,685,0.217,81.0,135,38,28.15,2.58 (2.13-3.04),97,71.85,3.48 (3.10-3.86)
da like neurons 11,197,0.398,92.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,357,0.07,3.0,237,16,6.75,3.91 (3.43-4.39),221,93.25,4.46 (4.21-4.71)
endothelial cells 9,1653,0.133,54.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,295,0.181,48.0,28,5,17.86,2.24 (1.83-2.64),23,82.14,2.18 (1.61-2.74)
GABA like neurons 14,3052,0.129,41.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,279,0.355,89.0,78,21,26.92,3.42 (2.73-4.11),57,73.08,4.69 (4.22-5.17)
oligodendrocyte progenitor cells 12,153,0.508,90.0,27,3,11.11,2.75 (0.63-4.88),24,88.89,5.36 (4.49-6.23)
oligodendrocytes 10,2107,0.075,15.0,358,64,17.88,2.13 (1.87-2.39),294,82.12,4.41 (4.23-4.60)
connective tissue cells 21,126,0.241,25.0,7,3,42.86,1.36 (0.78-1.94),4,57.14,1.65 (-0.44-3.74)
astrocytes 15,418,0.526,93.0,54,10,18.52,3.36 (2.78-3.94),44,81.48,3.76 (3.23-4.28)
oligodendrocytes 16,113,0.168,20.0,10,0,0.0,NA,10,100.0,2.94 (2.13-3.75)
da neurons 6,518,0.09,27.0,122,33,27.05,2.55 (2.13-2.98),89,72.95,4.78 (4.32-5.23)
astrocytes microglia 23,166,0.285,51.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,255,0.153,34.0,12,3,25.0,NA,9,75.0,4.62 (3.76-5.48)
oligodendrocytes 0,1186,0.145,49.0,300,8,2.67,3.03 (2.67-3.38),292,97.33,3.82 (3.61-4.03)
microglia 1,813,0.173,86.0,79,10,12.66,3.77 (2.56-4.99),69,87.34,3.01 (2.58-3.43)
oligodendrocytes 3,94,0.088,49.0,7,0,0.0,NA,7,100.0,5.62 (2.52-8.73)
oligodendrocytes 2,921,0.135,45.0,200,12,6.0,2.88 (2.30-3.46),188,94.0,3.68 (3.40-3.96)
