tipo_celular,module_size,MAP2_MM,MAP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.192,60.0,140,33,23.57,4.78 (3.81-5.76),107,76.43,4.45 (3.98-4.92)
T cells 18,282,0.09,17.0,241,15,6.22,5.15 (3.70-6.60),226,93.78,4.01 (3.75-4.26)
astrocytes 5,499,0.176,59.0,32,1,3.12,7.00 (NA-NA),31,96.88,4.92 (4.45-5.40)
oligodendrocyte progenitor cells 7,666,0.251,85.0,127,13,10.24,2.96 (1.91-4.01),114,89.76,3.99 (3.65-4.33)
GABA neurons expressing GLU receptors 22,714,0.122,15.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,795,0.204,78.0,80,14,17.5,6.36 (5.20-7.52),66,82.5,5.57 (5.13-6.01)
da like neurons 11,132,0.241,48.0,12,0,0.0,NA,12,100.0,4.39 (3.57-5.22)
GABA neurons expressing GABA receptors 13,266,0.358,96.0,118,13,11.02,4.59 (3.52-5.66),105,88.98,4.75 (4.38-5.13)
endothelial cells 9,303,0.199,55.0,54,2,3.7,4.29 (NA-NA),52,96.3,4.85 (4.21-5.50)
oligodendrocytes 20,279,0.175,39.0,16,2,12.5,3.83 (3.16-4.50),14,87.5,2.16 (1.37-2.96)
GABA like neurons 14,1300,0.051,3.0,306,87,28.43,4.70 (4.12-5.28),219,71.57,5.25 (4.97-5.53)
astrocytes 8,520,0.113,49.0,288,44,15.28,4.22 (3.62-4.81),244,84.72,4.16 (3.95-4.37)
oligodendrocyte progenitor cells 12,138,0.135,7.0,5,3,60.0,4.33 (4.33-4.33),2,40.0,NA
oligodendrocytes 10,806,0.422,92.0,261,54,20.69,5.45 (4.83-6.07),207,79.31,4.12 (3.87-4.37)
connective tissue cells 21,101,0.307,49.0,116,39,33.62,4.37 (3.45-5.30),77,66.38,4.70 (4.24-5.15)
astrocytes 15,208,0.082,44.0,4,2,50.0,4.85 (NA-NA),2,50.0,2.25 (-0.30-4.81)
oligodendrocytes 16,149,0.199,48.0,70,1,1.43,NA,69,98.57,5.65 (5.18-6.12)
da neurons 6,553,0.421,100.0,124,23,18.55,4.75 (3.83-5.67),101,81.45,4.09 (3.66-4.52)
astrocytes microglia 23,141,0.3,75.0,30,22,73.33,5.60 (4.48-6.71),8,26.67,5.89 (4.78-6.99)
astrocytes 4,220,0.224,80.0,63,35,55.56,4.81 (4.05-5.58),28,44.44,5.61 (4.84-6.38)
oligodendrocytes 0,116,0.228,68.0,169,11,6.51,6.29 (3.54-9.04),158,93.49,4.21 (3.92-4.50)
microglia 1,214,0.271,76.0,227,26,11.45,4.73 (4.03-5.43),201,88.55,4.03 (3.78-4.28)
oligodendrocytes 3,457,0.254,90.0,345,40,11.59,4.05 (3.35-4.76),305,88.41,4.30 (4.09-4.52)
oligodendrocytes 2,347,0.285,83.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
