tipo_celular,module_size,NEAT1_MM,NEAT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.148,32.0,73,7,9.59,3.84 (3.35-4.34),66,90.41,3.53 (3.14-3.91)
T cells 18,349,0.229,64.0,68,7,10.29,1.51 (1.08-1.95),61,89.71,4.81 (4.28-5.34)
astrocytes 5,322,0.106,12.0,58,3,5.17,1.70 (0.80-2.60),55,94.83,4.33 (3.93-4.74)
oligodendrocyte progenitor cells 7,200,0.435,96.0,16,0,0.0,NA,16,100.0,3.93 (3.11-4.74)
GABA neurons expressing GLU receptors 22,567,0.488,96.0,16,3,18.75,2.64 (2.22-3.06),13,81.25,1.79 (0.97-2.61)
GLU like neurons 17,685,0.397,96.0,135,35,25.93,2.46 (2.01-2.91),100,74.07,3.51 (3.14-3.89)
da like neurons 11,191,0.355,67.0,93,2,2.15,4.04 (3.84-4.23),91,97.85,5.70 (5.29-6.11)
GABA neurons expressing GABA receptors 13,288,0.416,93.0,93,5,5.38,1.42 (0.73-2.12),88,94.62,5.43 (4.97-5.89)
endothelial cells 9,1653,0.369,100.0,297,9,3.03,5.70 (5.11-6.29),288,96.97,3.60 (3.40-3.80)
oligodendrocytes 20,676,0.326,58.0,110,8,7.27,1.50 (1.06-1.94),102,92.73,5.34 (4.93-5.75)
GABA like neurons 14,1300,0.018,1.0,306,15,4.9,2.14 (1.56-2.73),291,95.1,5.32 (5.07-5.58)
astrocytes 8,1266,0.298,99.0,66,22,33.33,2.07 (1.57-2.57),44,66.67,3.96 (3.49-4.42)
oligodendrocyte progenitor cells 12,708,0.468,96.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,1277,0.37,100.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,147,0.234,50.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,1401,0.224,98.0,96,8,8.33,3.16 (1.92-4.40),88,91.67,3.66 (3.18-4.14)
oligodendrocytes 16,108,0.347,93.0,5,1,20.0,2.46 (NA-NA),4,80.0,4.35 (3.43-5.27)
da neurons 6,398,0.44,95.0,138,18,13.04,2.26 (1.59-2.93),120,86.96,5.26 (4.91-5.61)
astrocytes microglia 23,59,0.41,92.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,255,0.502,100.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,117,0.128,37.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,480,0.242,72.0,163,6,3.68,5.72 (3.60-7.85),157,96.32,3.64 (3.38-3.89)
oligodendrocytes 3,242,0.32,96.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,347,0.227,64.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
