tipo_celular,module_size,TCAF1_MM,TCAF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.13,29.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,388,0.107,23.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,228,0.143,32.0,266,18,6.77,3.58 (2.90-4.25),248,93.23,4.16 (3.94-4.38)
oligodendrocyte progenitor cells 7,4285,0.121,28.0,353,11,3.12,2.49 (1.75-3.24),342,96.88,3.95 (3.76-4.14)
GABA neurons expressing GLU receptors 22,848,0.276,71.0,262,12,4.58,4.05 (2.76-5.33),250,95.42,4.17 (3.92-4.42)
GLU like neurons 17,1316,0.058,4.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,1220,0.21,60.0,410,17,4.15,4.69 (3.68-5.70),393,95.85,4.22 (4.03-4.41)
GABA neurons expressing GABA receptors 13,86,0.225,86.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72)
endothelial cells 9,586,0.119,26.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,298,0.145,50.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2402,0.229,50.0,455,14,3.08,4.92 (3.94-5.90),441,96.92,4.31 (4.13-4.50)
astrocytes 8,283,0.192,77.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,3303,0.085,58.0,276,9,3.26,1.85 (1.19-2.51),267,96.74,3.62 (3.40-3.84)
oligodendrocytes 10,806,0.297,79.0,261,9,3.45,3.67 (2.46-4.88),252,96.55,4.40 (4.15-4.64)
connective tissue cells 21,100,0.179,3.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,338,0.037,3.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,313,0.223,52.0,291,21,7.22,3.97 (3.29-4.66),270,92.78,4.36 (4.13-4.60)
da neurons 6,307,0.169,84.0,95,2,2.11,4.14 (NA-NA),93,97.89,4.86 (4.41-5.30)
astrocytes microglia 23,41,0.432,85.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,721,0.141,30.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,1186,0.107,7.0,300,2,0.67,2.30 (1.83-2.77),298,99.33,3.81 (3.60-4.01)
microglia 1,214,0.128,25.0,227,6,2.64,3.62 (2.34-4.90),221,97.36,4.11 (3.87-4.35)
oligodendrocytes 3,457,0.052,8.0,345,22,6.38,4.41 (3.67-5.15),323,93.62,4.26 (4.04-4.48)
oligodendrocytes 2,921,0.171,92.0,200,2,1.0,3.01 (1.03-4.99),198,99.0,3.63 (3.36-3.90)
