tipo_celular,module_size,LRPPRC_MM,LRPPRC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.118,19.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,610,0.118,23.0,98,27,27.55,1.59 (1.20-1.97),71,72.45,3.69 (3.38-4.00)
astrocytes 5,1141,0.151,76.0,166,20,12.05,1.62 (1.27-1.96),146,87.95,3.68 (3.42-3.93)
oligodendrocyte progenitor cells 7,4285,0.149,71.0,353,46,13.03,2.07 (1.67-2.47),307,86.97,4.24 (4.06-4.42)
GABA neurons expressing GLU receptors 22,400,0.308,90.0,24,10,41.67,1.14 (0.61-1.66),14,58.33,2.88 (2.36-3.41)
GLU like neurons 17,1316,0.088,17.0,101,3,2.97,4.05 (NA-NA),98,97.03,3.04 (2.69-3.39)
da like neurons 11,102,0.275,58.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.07 (2.93-3.20)
GABA neurons expressing GABA receptors 13,357,0.251,81.0,237,2,0.84,2.95 (NA-NA),235,99.16,4.42 (4.18-4.65)
endothelial cells 9,1653,0.063,4.0,297,1,0.34,2.04 (NA-NA),296,99.66,3.68 (3.48-3.88)
oligodendrocytes 20,295,0.102,16.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052,0.161,69.0,125,1,0.8,4.56 (NA-NA),124,99.2,3.34 (3.02-3.67)
astrocytes 8,520,0.07,24.0,288,28,9.72,3.43 (2.81-4.06),260,90.28,4.25 (4.04-4.46)
oligodendrocyte progenitor cells 12,3303,0.057,23.0,276,44,15.94,2.38 (1.97-2.80),232,84.06,3.82 (3.59-4.05)
oligodendrocytes 10,2107,0.135,45.0,358,45,12.57,1.85 (1.48-2.22),313,87.43,4.25 (4.07-4.43)
connective tissue cells 21,139,0.319,58.0,4,1,25.0,5.34 (NA-NA),3,75.0,2.91 (2.30-3.51)
astrocytes 15,1768,0.126,82.0,105,22,20.95,1.81 (1.35-2.28),83,79.05,3.60 (3.24-3.96)
oligodendrocytes 16,313,0.151,19.0,291,25,8.59,3.77 (3.13-4.42),266,91.41,4.38 (4.14-4.61)
da neurons 6,300,0.231,72.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,107,0.307,47.0,1,1,100.0,3.12 (NA-NA),0,0.0,NA
astrocytes 4,787,0.153,53.0,65,1,1.54,NA,64,98.46,2.96 (2.57-3.36)
oligodendrocytes 0,1186,0.166,83.0,300,3,1.0,2.05 (2.03-2.07),297,99.0,3.81 (3.60-4.01)
microglia 1,813,0.142,74.0,79,1,1.27,2.76 (NA-NA),78,98.73,3.11 (2.70-3.51)
oligodendrocytes 3,1003,0.09,44.0,111,1,0.9,5.10 (NA-NA),110,99.1,3.28 (2.94-3.63)
oligodendrocytes 2,921,0.125,30.0,200,8,4.0,2.75 (1.85-3.66),192,96.0,3.66 (3.39-3.93)
