tipo_celular,module_size,DENND5A_MM,DENND5A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.246,72.0,8,1,12.5,2.91 (NA-NA),7,87.5,1.04 (0.29-1.79)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,423.0,0.141,44.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,666.0,0.158,44.0,127,6,4.72,1.71 (0.90-2.52),121,95.28,3.99 (3.66-4.32)
GABA neurons expressing GLU receptors 22,599.0,0.079,1.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,380.0,0.128,21.0,39,4,10.26,3.88 (1.81-5.94),35,89.74,2.85 (2.29-3.42)
da like neurons 11,408.0,0.141,41.0,25,8,32.0,1.70 (0.64-2.75),17,68.0,6.56 (5.46-7.65)
GABA neurons expressing GABA receptors 13,288.0,0.136,30.0,93,29,31.18,4.25 (3.53-4.97),64,68.82,5.73 (5.12-6.35)
endothelial cells 9,412.0,0.16,42.0,141,8,5.67,2.29 (1.36-3.22),133,94.33,3.01 (2.76-3.25)
oligodendrocytes 20,676.0,0.092,34.0,110,21,19.09,4.35 (3.42-5.27),89,80.91,5.23 (4.73-5.73)
GABA like neurons 14,1300.0,0.102,10.0,306,44,14.38,3.56 (2.96-4.16),262,85.62,5.46 (5.20-5.73)
astrocytes 8,771.0,0.146,55.0,48,4,8.33,5.16 (2.28-8.04),44,91.67,4.35 (3.56-5.13)
oligodendrocyte progenitor cells 12,143.0,0.453,68.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,130.0,0.513,75.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,84.0,0.15,8.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60)
astrocytes 15,458.0,0.085,44.0,36,3,8.33,7.59 (NA-NA),33,91.67,3.60 (2.52-4.68)
oligodendrocytes 16,153.0,0.246,16.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,398.0,0.164,56.0,138,24,17.39,3.45 (2.63-4.27),114,82.61,5.16 (4.78-5.54)
astrocytes microglia 23,255.0,0.244,39.0,57,3,5.26,2.74 (2.51-2.97),54,94.74,2.65 (2.26-3.03)
astrocytes 4,514.0,0.146,25.0,95,3,3.16,0.90 (0.75-1.04),92,96.84,3.48 (3.05-3.90)
oligodendrocytes 0,479.0,0.168,62.0,40,10,25.0,5.75 (4.74-6.77),30,75.0,5.91 (5.31-6.52)
microglia 1,480.0,0.157,34.0,163,1,0.61,3.41 (NA-NA),162,99.39,3.71 (3.44-3.98)
oligodendrocytes 3,44.0,0.196,33.0,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,237.0,0.216,50.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
