tipo_celular,module_size,SNAP25_MM,SNAP25_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.5,99.0,140,21,15.0,4.07 (3.25-4.89),119,85.0,4.58 (4.11-5.06)
T cells 18,282,0.58,99.0,241,9,3.73,3.68 (2.83-4.52),232,96.27,4.07 (3.81-4.32)
astrocytes 5,228,0.375,94.0,266,56,21.05,3.17 (2.74-3.61),210,78.95,4.42 (4.20-4.64)
oligodendrocyte progenitor cells 7,296,0.253,77.0,251,2,0.8,3.76 (2.71-4.81),249,99.2,4.07 (3.83-4.31)
GABA neurons expressing GLU receptors 22,848,0.341,83.0,262,52,19.85,4.06 (3.55-4.56),210,80.15,4.19 (3.90-4.47)
GLU like neurons 17,795,0.104,33.0,80,15,18.75,4.53 (3.72-5.33),65,81.25,5.93 (5.49-6.37)
da like neurons 11,1220,0.386,92.0,410,38,9.27,3.46 (2.97-3.96),372,90.73,4.35 (4.15-4.55)
GABA neurons expressing GABA receptors 13,266,0.321,94.0,118,21,17.8,4.64 (4.10-5.19),97,82.2,4.76 (4.34-5.18)
endothelial cells 9,338,0.532,98.0,191,18,9.42,3.77 (3.12-4.42),173,90.58,3.90 (3.66-4.13)
oligodendrocytes 20,250,0.056,13.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402,0.329,71.0,455,42,9.23,3.13 (2.59-3.68),413,90.77,4.51 (4.32-4.70)
astrocytes 8,520,0.443,97.0,288,52,18.06,3.57 (3.19-3.95),236,81.94,4.33 (4.10-4.56)
oligodendrocyte progenitor cells 12,153,0.326,21.0,27,8,29.63,3.61 (2.34-4.88),19,70.37,5.74 (4.64-6.84)
oligodendrocytes 10,806,0.686,100.0,261,41,15.71,3.70 (3.21-4.19),220,84.29,4.48 (4.21-4.75)
connective tissue cells 21,101,0.384,68.0,116,26,22.41,3.64 (2.93-4.34),90,77.59,4.93 (4.45-5.40)
astrocytes 15,367,0.156,57.0,17,1,5.88,2.91 (NA-NA),16,94.12,2.03 (1.01-3.05)
oligodendrocytes 16,313,0.507,95.0,291,40,13.75,3.63 (3.17-4.10),251,86.25,4.46 (4.21-4.71)
da neurons 6,307,0.23,95.0,95,19,20.0,5.09 (4.44-5.74),76,80.0,4.78 (4.25-5.31)
astrocytes microglia 23,122,0.264,39.0,46,7,15.22,4.91 (4.42-5.41),39,84.78,5.05 (4.39-5.72)
astrocytes 4,157,0.295,78.0,178,40,22.47,3.06 (2.53-3.59),138,77.53,4.50 (4.22-4.79)
oligodendrocytes 0,116,0.374,87.0,169,12,7.1,4.64 (3.53-5.74),157,92.9,4.26 (3.95-4.57)
microglia 1,214,0.533,98.0,227,20,8.81,4.12 (3.47-4.78),207,91.19,4.09 (3.84-4.34)
oligodendrocytes 3,457,0.447,98.0,345,51,14.78,3.56 (3.17-3.94),294,85.22,4.42 (4.19-4.65)
oligodendrocytes 2,99,0.486,89.0,116,10,8.62,5.15 (4.42-5.88),106,91.38,3.90 (3.59-4.21)
