tipo_celular,module_size,HNRNPA2B1_MM,HNRNPA2B1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184,0.127,5.0,21,12,57.14,1.56 (0.94-2.18),9,42.86,3.41 (2.62-4.21)
T cells 18,506,0.175,46.0,225,23,10.22,2.09 (1.61-2.58),202,89.78,3.80 (3.54-4.06)
astrocytes 5,328,0.191,61.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,628,0.204,70.0,164,3,1.83,3.17 (1.32-5.02),161,98.17,4.11 (3.78-4.44)
GABA neurons expressing GLU receptors 22,567,0.256,73.0,16,4,25.0,2.47 (2.02-2.92),12,75.0,1.77 (0.87-2.68)
GLU like neurons 17,685,0.203,77.0,135,38,28.15,2.04 (1.72-2.36),97,71.85,3.68 (3.31-4.04)
da like neurons 11,408,0.204,57.0,25,8,32.0,1.42 (0.83-2.00),17,68.0,6.74 (5.82-7.67)
GABA neurons expressing GABA receptors 13,80,0.151,35.0,0,0,0.0,NA,0,0.0,NA
endothelial cells 9,385,0.244,93.0,275,92,33.45,2.91 (2.54-3.28),183,66.55,4.78 (4.50-5.06)
oligodendrocytes 20,676,0.273,50.0,110,10,9.09,2.12 (1.21-3.02),100,90.91,5.37 (4.95-5.78)
GABA like neurons 14,3052,0.139,50.0,125,4,3.2,5.30 (4.42-6.19),121,96.8,3.27 (2.95-3.60)
astrocytes 8,771,0.125,50.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,254,0.219,34.0,37,0,0.0,NA,37,100.0,4.50 (3.92-5.08)
oligodendrocytes 10,236,0.318,12.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,118,0.213,9.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24)
astrocytes 15,1768,0.21,100.0,105,38,36.19,2.29 (1.92-2.65),67,63.81,3.76 (3.32-4.19)
oligodendrocytes 16,153,0.407,68.0,14,1,7.14,3.79 (NA-NA),13,92.86,4.74 (3.97-5.52)
da neurons 6,409,0.142,59.0,235,18,7.66,3.94 (2.97-4.92),217,92.34,3.98 (3.72-4.23)
astrocytes microglia 23,92,0.169,2.0,11,0,0.0,NA,11,100.0,4.35 (3.80-4.91)
astrocytes 4,752,0.153,49.0,96,22,22.92,3.23 (2.78-3.67),74,77.08,3.31 (2.89-3.74)
oligodendrocytes 0,546,0.135,30.0,252,29,11.51,1.62 (1.16-2.08),223,88.49,4.45 (4.22-4.68)
microglia 1,958,0.132,78.0,290,51,17.59,4.04 (3.50-4.57),239,82.41,3.75 (3.50-4.01)
oligodendrocytes 3,116,0.417,100.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96)
oligodendrocytes 2,528,0.209,56.0,175,19,10.86,4.00 (3.01-5.00),156,89.14,4.43 (4.06-4.81)
