tipo_celular,module_size,UBA6_MM,UBA6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.158,34.0,102,18,17.65,2.75 (2.22-3.29),84,82.35,3.67 (3.25-4.09)
T cells 18,624,0.238,94.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1141,0.123,36.0,166,21,12.65,2.97 (2.34-3.60),145,87.35,3.47 (3.19-3.74)
oligodendrocyte progenitor cells 7,4285,0.14,58.0,353,28,7.93,2.80 (2.26-3.34),325,92.07,4.01 (3.82-4.21)
GABA neurons expressing GLU receptors 22,400,0.198,51.0,24,6,25.0,2.27 (1.12-3.42),18,75.0,2.12 (1.54-2.70)
GLU like neurons 17,1316,0.135,60.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42)
da like neurons 11,153,0.26,55.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,101,0.202,80.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,412,0.142,34.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,358,0.18,62.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,3052,0.196,90.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,727,0.118,57.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303,0.088,62.0,276,25,9.06,3.12 (2.59-3.64),251,90.94,3.60 (3.36-3.83)
oligodendrocytes 10,2107,0.187,65.0,358,29,8.1,2.84 (2.31-3.37),329,91.9,3.98 (3.78-4.19)
connective tissue cells 21,111,0.307,64.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768,0.144,89.0,105,19,18.1,2.55 (1.97-3.12),86,81.9,3.37 (2.99-3.76)
oligodendrocytes 16,74,0.189,58.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,518,0.132,71.0,122,14,11.48,2.94 (2.30-3.59),108,88.52,4.17 (3.74-4.61)
astrocytes microglia 23,114,0.192,2.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.145,39.0,65,1,1.54,5.16 (NA-NA),64,98.46,2.92 (2.53-3.31)
oligodendrocytes 0,1186,0.136,34.0,300,1,0.33,3.78 (NA-NA),299,99.67,3.79 (3.59-4.00)
microglia 1,346,0.107,18.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,854,0.089,48.0,76,4,5.26,2.53 (0.97-4.08),72,94.74,2.79 (2.46-3.13)
oligodendrocytes 2,804,0.14,35.0,84,19,22.62,3.23 (2.62-3.84),65,77.38,2.48 (2.09-2.86)
