tipo_celular,module_size,LMBRD1_MM,LMBRD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178,0.083,1.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,610,0.285,100.0,98,14,14.29,1.66 (0.88-2.43),84,85.71,3.37 (3.06-3.68)
astrocytes 5,1141,0.15,75.0,166,3,1.81,0.43 (0.21-0.66),163,98.19,3.46 (3.21-3.70)
oligodendrocyte progenitor cells 7,4285,0.114,21.0,353,20,5.67,1.93 (1.33-2.54),333,94.33,4.04 (3.86-4.23)
GABA neurons expressing GLU receptors 22,1069,0.112,15.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,637,0.13,38.0,91,17,18.68,2.40 (1.41-3.39),74,81.32,5.21 (4.72-5.69)
da like neurons 11,77,0.357,69.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
GABA neurons expressing GABA receptors 13,86,0.174,59.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72)
endothelial cells 9,450,0.061,4.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,271,0.198,60.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,3052,0.196,90.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,262,0.168,63.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,218,0.171,38.0,1,0,0.0,NA,1,100.0,2.68 (NA-NA)
oligodendrocytes 10,735,0.044,9.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,125,0.229,21.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,338,0.135,38.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,91,0.143,13.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
da neurons 6,518,0.134,72.0,122,28,22.95,2.60 (2.11-3.09),94,77.05,4.59 (4.14-5.04)
astrocytes microglia 23,255,0.207,15.0,57,1,1.75,2.54 (NA-NA),56,98.25,2.65 (2.29-3.02)
astrocytes 4,752,0.158,57.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,2078,0.122,66.0,238,3,1.26,1.71 (0.15-3.26),235,98.74,3.67 (3.44-3.89)
microglia 1,1615,0.128,74.0,161,11,6.83,1.02 (0.44-1.60),150,93.17,3.48 (3.22-3.74)
oligodendrocytes 3,1003,0.117,69.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,528,0.129,11.0,175,20,11.43,3.45 (3.07-3.84),155,88.57,4.57 (4.17-4.98)
