tipo_celular,module_size,PPP2R2D_MM,PPP2R2D_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.094,9.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,624,0.173,68.0,142,4,2.82,3.25 (2.99-3.50),138,97.18,3.21 (2.93-3.48)
astrocytes 5,932,0.112,54.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.146,67.0,353,13,3.68,1.67 (1.08-2.26),340,96.32,4.00 (3.82-4.18)
GABA neurons expressing GLU receptors 22,823,0.113,13.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1316,0.082,13.0,101,1,0.99,2.93 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,172,0.195,41.0,8,0,0.0,NA,8,100.0,3.69 (3.52-3.86)
GABA neurons expressing GABA receptors 13,70,0.125,19.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89)
endothelial cells 9,1653,0.139,59.0,297,6,2.02,3.45 (3.15-3.75),291,97.98,3.68 (3.47-3.89)
oligodendrocytes 20,228,0.253,68.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45)
GABA like neurons 14,2090,0.171,61.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,577,0.026,2.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,708,0.093,39.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,2107,0.141,48.0,358,18,5.03,2.22 (1.62-2.81),340,94.97,3.98 (3.78-4.17)
connective tissue cells 21,90,0.215,11.0,3,0,0.0,NA,3,100.0,2.29 (2.29-2.29)
astrocytes 15,1401,0.056,22.0,96,1,1.04,2.23 (NA-NA),95,98.96,3.63 (3.18-4.08)
oligodendrocytes 16,121,0.187,32.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,448,0.084,28.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,122,0.27,29.0,5,0,0.0,NA,5,100.0,1.94 (-0.80-4.68)
astrocytes 4,787,0.157,61.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186,0.138,37.0,300,8,2.67,3.88 (3.26-4.49),292,97.33,3.79 (3.58-4.00)
microglia 1,958,0.122,66.0,290,4,1.38,3.48 (1.51-5.44),286,98.62,3.82 (3.59-4.05)
oligodendrocytes 3,681,0.086,41.0,87,5,5.75,1.70 (0.67-2.73),82,94.25,2.64 (2.36-2.92)
oligodendrocytes 2,921,0.138,51.0,200,0,0.0,NA,200,100.0,3.62 (3.36-3.89)
