tipo_celular,module_size,ROBO2_MM,ROBO2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172.0,0.185,55.0,140,5,3.57,4.33 (4.33-4.33),135,96.43,4.51 (4.08-4.94)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.252,90.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,296.0,0.164,38.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,459.0,0.317,91.0,165,35,21.21,4.38 (3.56-5.21),130,78.79,5.31 (4.95-5.66)
GLU like neurons 17,795.0,0.331,96.0,80,10,12.5,3.98 (2.13-5.83),70,87.5,5.81 (5.40-6.22)
da like neurons 11,191.0,0.292,53.0,93,47,50.54,5.85 (5.20-6.50),46,49.46,5.42 (4.98-5.87)
GABA neurons expressing GABA receptors 13,238.0,0.087,6.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,338.0,0.13,49.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,676.0,0.07,30.0,110,47,42.73,4.94 (4.26-5.61),63,57.27,5.05 (4.45-5.64)
GABA like neurons 14,1300.0,0.15,23.0,306,85,27.78,4.83 (4.29-5.37),221,72.22,5.23 (4.95-5.51)
astrocytes 8,520.0,0.129,56.0,288,19,6.6,3.73 (2.75-4.70),269,93.4,4.20 (4.00-4.40)
oligodendrocyte progenitor cells 12,3303.0,0.112,84.0,276,9,3.26,2.18 (1.14-3.21),267,96.74,3.60 (3.38-3.82)
oligodendrocytes 10,806.0,0.283,76.0,261,28,10.73,5.50 (4.68-6.33),233,89.27,4.22 (3.98-4.46)
connective tissue cells 21,91.0,0.248,25.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44)
astrocytes 15,261.0,0.231,83.0,8,2,25.0,0.39 (NA-NA),6,75.0,4.23 (2.19-6.27)
oligodendrocytes 16,149.0,0.574,98.0,70,7,10.0,7.56 (6.69-8.42),63,90.0,5.48 (5.00-5.97)
da neurons 6,518.0,0.174,89.0,122,27,22.13,4.44 (3.02-5.87),95,77.87,3.88 (3.53-4.23)
astrocytes microglia 23,89.0,0.242,27.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,161.0,0.06,2.0,45,6,13.33,6.49 (NA-NA),39,86.67,5.24 (4.60-5.88)
oligodendrocytes 0,116.0,0.114,27.0,169,1,0.59,NA,168,99.41,4.28 (3.98-4.57)
microglia 1,214.0,0.15,38.0,227,13,5.73,3.74 (2.86-4.63),214,94.27,4.11 (3.86-4.35)
oligodendrocytes 3,457.0,0.18,75.0,345,16,4.64,2.82 (2.22-3.43),329,95.36,4.33 (4.12-4.55)
oligodendrocytes 2,237.0,0.138,12.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
