tipo_celular,module_size,HAGH_MM,HAGH_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.168,57.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,518,0.1,15.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,932,0.131,79.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,229,0.073,7.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,823,0.228,79.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1316,0.113,42.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,215,0.176,46.0,9,1,11.11,NA,8,88.89,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,77,0.209,68.0,8,2,25.0,2.24 (-0.28-4.75),6,75.0,3.62 (2.82-4.41)
endothelial cells 9,916,0.145,30.0,302,3,0.99,1.71 (0.06-3.37),299,99.01,4.01 (3.79-4.24)
oligodendrocytes 20,322,0.264,89.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2402,0.253,56.0,455,14,3.08,1.26 (0.77-1.74),441,96.92,4.48 (4.30-4.66)
astrocytes 8,1266,0.081,50.0,66,10,15.15,1.34 (0.63-2.06),56,84.85,3.63 (3.23-4.03)
oligodendrocyte progenitor cells 12,3303,0.057,23.0,276,9,3.26,1.76 (1.30-2.22),267,96.74,3.62 (3.40-3.84)
oligodendrocytes 10,735,0.094,48.0,277,1,0.36,3.12 (NA-NA),276,99.64,3.90 (3.65-4.14)
connective tissue cells 21,139,0.341,71.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,261,0.107,26.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25)
oligodendrocytes 16,158,0.212,60.0,30,1,3.33,1.95 (NA-NA),29,96.67,2.35 (1.67-3.02)
da neurons 6,729,0.19,69.0,182,1,0.55,1.32 (NA-NA),181,99.45,3.65 (3.40-3.90)
astrocytes microglia 23,161,0.334,72.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,721,0.165,75.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,613,0.106,13.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,1615,0.093,26.0,161,17,10.56,1.33 (0.86-1.81),144,89.44,3.56 (3.30-3.82)
oligodendrocytes 3,681,0.049,7.0,87,10,11.49,1.61 (0.98-2.24),77,88.51,2.72 (2.44-3.01)
oligodendrocytes 2,526,0.159,18.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
