tipo_celular,module_size,ST13_MM,ST13_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.209,86.0,71,3,4.23,1.99 (-1.51-5.49),68,95.77,2.64 (2.23-3.06)
T cells 18,477,0.255,90.0,43,1,2.33,8.28 (NA-NA),42,97.67,1.85 (1.47-2.22)
astrocytes 5,228,0.118,20.0,266,15,5.64,2.41 (1.46-3.37),251,94.36,4.21 (4.00-4.42)
oligodendrocyte progenitor cells 7,666,0.201,73.0,127,13,10.24,5.47 (2.54-8.40),114,89.76,3.77 (3.44-4.10)
GABA neurons expressing GLU receptors 22,487,0.319,81.0,73,3,4.11,1.40 (1.32-1.48),70,95.89,2.82 (2.43-3.22)
GLU like neurons 17,685,0.152,61.0,135,14,10.37,1.64 (0.99-2.30),121,89.63,3.34 (3.02-3.65)
da like neurons 11,1220,0.218,62.0,410,14,3.41,3.88 (2.07-5.69),396,96.59,4.26 (4.07-4.44)
GABA neurons expressing GABA receptors 13,265,0.112,19.0,78,0,0.0,NA,78,100.0,4.36 (3.94-4.77)
endothelial cells 9,916,0.181,42.0,302,4,1.32,2.90 (1.09-4.72),298,98.68,4.00 (3.77-4.23)
oligodendrocytes 20,253,0.206,71.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2402,0.444,84.0,455,27,5.93,2.17 (1.09-3.26),428,94.07,4.45 (4.27-4.63)
astrocytes 8,520,0.168,64.0,288,9,3.12,2.78 (1.44-4.13),279,96.88,4.20 (4.00-4.40)
oligodendrocyte progenitor cells 12,1049,0.09,49.0,235,11,4.68,4.93 (3.19-6.66),224,95.32,3.79 (3.56-4.03)
oligodendrocytes 10,735,0.212,91.0,277,3,1.08,4.95 (NA-NA),274,98.92,3.89 (3.65-4.13)
connective tissue cells 21,142,0.258,22.0,55,16,29.09,2.95 (1.24-4.66),39,70.91,3.64 (2.69-4.59)
astrocytes 15,1768,0.114,75.0,105,12,11.43,1.60 (0.95-2.24),93,88.57,3.44 (3.09-3.79)
oligodendrocytes 16,107,0.192,27.0,11,1,9.09,0.52 (NA-NA),10,90.91,1.58 (0.87-2.29)
da neurons 6,409,0.195,78.0,235,8,3.4,2.99 (1.27-4.70),227,96.6,4.01 (3.75-4.26)
astrocytes microglia 23,118,0.38,88.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514,0.185,51.0,95,3,3.16,6.61 (3.35-9.88),92,96.84,3.28 (2.87-3.68)
oligodendrocytes 0,613,0.214,93.0,127,10,7.87,2.99 (1.50-4.47),117,92.13,3.06 (2.62-3.49)
microglia 1,406,0.146,37.0,278,1,0.36,NA,277,99.64,4.36 (4.09-4.63)
oligodendrocytes 3,743,0.118,84.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528,0.296,84.0,175,15,8.57,4.93 (3.19-6.66),160,91.43,4.35 (3.99-4.71)
