tipo_celular,module_size,BCAS3_MM,BCAS3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.126,23.0,15,1,6.67,NA,14,93.33,5.79 (5.09-6.49)
T cells 18,388,0.108,24.0,84,9,10.71,2.41 (2.26-2.55),75,89.29,3.04 (2.68-3.40)
astrocytes 5,222,0.211,52.0,98,8,8.16,5.27 (3.44-7.10),90,91.84,4.53 (4.12-4.93)
oligodendrocyte progenitor cells 7,436,0.052,5.0,219,7,3.2,5.27 (4.75-5.79),212,96.8,5.21 (4.91-5.51)
GABA neurons expressing GLU receptors 22,192,0.147,62.0,55,6,10.91,2.10 (1.82-2.39),49,89.09,4.30 (3.88-4.71)
GLU like neurons 17,1247,0.121,40.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853,0.256,94.0,133,39,29.32,2.09 (1.66-2.51),94,70.68,3.85 (3.49-4.20)
GABA neurons expressing GABA receptors 13,288,0.186,57.0,93,14,15.05,3.18 (2.21-4.14),79,84.95,5.55 (5.04-6.05)
endothelial cells 9,1653,0.211,93.0,297,4,1.35,3.67 (1.89-5.44),293,98.65,3.67 (3.47-3.88)
oligodendrocytes 20,676,0.515,80.0,110,22,20.0,3.70 (2.93-4.47),88,80.0,5.44 (4.95-5.93)
GABA like neurons 14,1300,0.228,60.0,306,29,9.48,3.45 (2.77-4.12),277,90.52,5.33 (5.06-5.60)
astrocytes 8,279,0.269,45.0,78,13,16.67,3.70 (2.71-4.70),65,83.33,4.45 (4.00-4.90)
oligodendrocyte progenitor cells 12,254,0.186,28.0,37,7,18.92,3.62 (2.50-4.74),30,81.08,4.71 (4.06-5.36)
oligodendrocytes 10,236,0.213,5.0,82,13,15.85,5.71 (5.01-6.42),69,84.15,4.83 (4.22-5.44)
connective tissue cells 21,82,0.194,10.0,19,0,0.0,NA,19,100.0,7.57 (7.32-7.82)
astrocytes 15,418,0.534,94.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,287,0.303,50.0,105,26,24.76,4.16 (3.24-5.08),79,75.24,5.50 (5.04-5.95)
da neurons 6,398,0.246,78.0,138,26,18.84,3.28 (2.57-4.00),112,81.16,5.24 (4.86-5.63)
astrocytes microglia 23,127,0.176,4.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,251,0.061,1.0,34,3,8.82,3.57 (1.31-5.84),31,91.18,5.48 (4.89-6.06)
oligodendrocytes 0,261,0.119,16.0,42,17,40.48,2.59 (1.70-3.48),25,59.52,5.36 (4.84-5.88)
microglia 1,1615,0.109,49.0,161,53,32.92,2.09 (1.77-2.40),108,67.08,3.97 (3.67-4.27)
oligodendrocytes 3,99,0.161,20.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19)
oligodendrocytes 2,237,0.228,58.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
