tipo_celular,module_size,STT3B_MM,STT3B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,211,0.257,88.0,47,1,2.13,3.43 (NA-NA),46,97.87,2.57 (2.07-3.07)
T cells 18,624,0.178,71.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1141,0.166,89.0,166,15,9.04,2.18 (1.51-2.84),151,90.96,3.54 (3.28-3.80)
oligodendrocyte progenitor cells 7,4285,0.151,75.0,353,29,8.22,1.79 (1.36-2.22),324,91.78,4.14 (3.96-4.32)
GABA neurons expressing GLU receptors 22,567,0.193,50.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,1316,0.188,90.0,101,2,1.98,2.76 (2.30-3.22),99,98.02,3.06 (2.70-3.42)
da like neurons 11,289,0.271,82.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,73,0.111,12.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17)
endothelial cells 9,1653,0.1,27.0,297,2,0.67,2.98 (2.09-3.86),295,99.33,3.68 (3.47-3.88)
oligodendrocytes 20,403,0.028,4.0,18,10,55.56,1.15 (0.49-1.80),8,44.44,2.79 (1.79-3.79)
GABA like neurons 14,3052,0.233,98.0,125,2,1.6,3.09 (2.91-3.26),123,98.4,3.36 (3.03-3.69)
astrocytes 8,354,0.173,77.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303,0.143,97.0,276,20,7.25,2.21 (1.73-2.69),256,92.75,3.68 (3.45-3.91)
oligodendrocytes 10,2107,0.248,82.0,358,26,7.26,1.70 (1.24-2.17),332,92.74,4.09 (3.91-4.28)
connective tissue cells 21,152,0.263,53.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,1768,0.17,96.0,105,23,21.9,2.26 (1.76-2.75),82,78.1,3.51 (3.12-3.90)
oligodendrocytes 16,156,0.181,37.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,518,0.143,79.0,122,22,18.03,2.44 (1.78-3.11),100,81.97,4.47 (4.05-4.88)
astrocytes microglia 23,46,0.242,5.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.17,82.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,613,0.132,40.0,127,5,3.94,3.59 (0.93-6.24),122,96.06,3.02 (2.60-3.43)
microglia 1,813,0.205,94.0,79,8,10.13,3.67 (2.68-4.67),71,89.87,3.03 (2.59-3.46)
oligodendrocytes 3,681,0.096,51.0,87,15,17.24,1.57 (1.05-2.10),72,82.76,2.82 (2.53-3.10)
oligodendrocytes 2,921,0.142,59.0,200,5,2.5,2.09 (1.48-2.70),195,97.5,3.67 (3.40-3.94)
