tipo_celular,module_size,TTBK2_MM,TTBK2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.176,62.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,349,0.106,21.0,68,18,26.47,3.20 (2.39-4.01),50,73.53,4.80 (4.15-5.45)
astrocytes 5,1141,0.129,45.0,166,24,14.46,2.30 (1.75-2.84),142,85.54,3.60 (3.33-3.87)
oligodendrocyte progenitor cells 7,4285,0.134,48.0,353,45,12.75,2.38 (1.97-2.78),308,87.25,4.17 (3.99-4.36)
GABA neurons expressing GLU receptors 22,823,0.117,14.0,23,8,34.78,3.34 (2.45-4.23),15,65.22,1.80 (0.90-2.69)
GLU like neurons 17,1247,0.108,31.0,51,2,3.92,2.89 (1.14-4.63),49,96.08,3.66 (3.06-4.26)
da like neurons 11,204,0.254,76.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,238,0.311,94.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,1653,0.162,75.0,297,6,2.02,3.34 (2.54-4.15),291,97.98,3.68 (3.47-3.88)
oligodendrocytes 20,348,0.19,69.0,33,9,27.27,3.46 (3.04-3.89),24,72.73,2.42 (1.79-3.05)
GABA like neurons 14,1300,0.118,13.0,306,59,19.28,3.64 (3.21-4.07),247,80.72,5.55 (5.26-5.83)
astrocytes 8,577,0.059,26.0,83,4,4.82,2.38 (1.36-3.40),79,95.18,3.31 (2.84-3.78)
oligodendrocyte progenitor cells 12,218,0.317,60.0,1,1,100.0,2.68 (NA-NA),0,0.0,NA
oligodendrocytes 10,2107,0.082,18.0,358,46,12.85,2.18 (1.77-2.59),312,87.15,4.18 (3.99-4.37)
connective tissue cells 21,183,0.157,6.0,32,2,6.25,2.88 (-1.05-6.80),30,93.75,5.28 (4.66-5.89)
astrocytes 15,1768,0.098,60.0,105,20,19.05,2.13 (1.65-2.61),85,80.95,3.49 (3.11-3.87)
oligodendrocytes 16,64,0.152,29.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.288,96.0,124,20,16.13,4.29 (3.27-5.31),104,83.87,4.16 (3.74-4.59)
astrocytes microglia 23,253,0.244,44.0,47,1,2.13,0.94 (NA-NA),46,97.87,2.89 (2.57-3.22)
astrocytes 4,752,0.148,42.0,96,17,17.71,3.58 (3.00-4.15),79,82.29,3.23 (2.84-3.61)
oligodendrocytes 0,613,0.133,41.0,127,6,4.72,2.86 (2.04-3.69),121,95.28,3.07 (2.62-3.51)
microglia 1,1615,0.137,82.0,161,27,16.77,2.12 (1.56-2.68),134,83.23,3.57 (3.29-3.85)
oligodendrocytes 3,854,0.126,81.0,76,10,13.16,3.40 (2.43-4.37),66,86.84,2.70 (2.35-3.05)
oligodendrocytes 2,804,0.136,31.0,84,24,28.57,2.98 (2.40-3.56),60,71.43,2.57 (2.16-2.97)
