tipo_celular,module_size,CIRBP_MM,CIRBP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.098,11.0,98,17,17.35,1.92 (1.47-2.36),81,82.65,3.55 (3.00-4.09)
T cells 18,282,0.121,12.0,12,4,33.33,4.94 (4.55-5.33),8,66.67,2.48 (1.13-3.84)
astrocytes 5,117,0.284,89.0,28,0,0.0,NA,28,100.0,5.31 (4.72-5.89)
oligodendrocyte progenitor cells 7,628,0.179,58.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,487,0.222,53.0,73,7,9.59,1.62 (1.34-1.89),66,90.41,2.90 (2.48-3.31)
GLU like neurons 17,637,0.082,13.0,91,13,14.29,1.26 (0.74-1.78),78,85.71,5.33 (4.91-5.74)
da like neurons 11,408,0.14,39.0,25,9,36.0,1.82 (0.87-2.77),16,64.0,6.90 (5.94-7.86)
GABA neurons expressing GABA receptors 13,200,0.176,65.0,34,2,5.88,3.66 (3.64-3.69),32,94.12,3.91 (2.95-4.87)
endothelial cells 9,586,0.117,26.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,221,0.136,22.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,2402,0.319,70.0,455,53,11.65,2.61 (2.14-3.09),402,88.35,4.64 (4.46-4.82)
astrocytes 8,603,0.141,79.0,89,12,13.48,1.62 (1.19-2.04),77,86.52,2.99 (2.61-3.38)
oligodendrocyte progenitor cells 12,3303,0.066,34.0,276,59,21.38,2.49 (2.15-2.84),217,78.62,3.93 (3.69-4.17)
oligodendrocytes 10,735,0.069,28.0,277,2,0.72,4.81 (NA-NA),275,99.28,3.89 (3.65-4.13)
connective tissue cells 21,112,0.244,53.0,7,2,28.57,2.00 (1.71-2.28),5,71.43,1.94 (0.81-3.06)
astrocytes 15,458,0.107,57.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,158,0.149,15.0,30,2,6.67,1.95 (NA-NA),28,93.33,2.35 (1.67-3.02)
da neurons 6,729,0.11,29.0,182,11,6.04,1.99 (1.57-2.40),171,93.96,3.76 (3.50-4.01)
astrocytes microglia 23,141,0.234,43.0,30,2,6.67,1.74 (1.73-1.75),28,93.33,6.06 (5.27-6.84)
astrocytes 4,161,0.183,53.0,45,0,0.0,NA,45,100.0,5.28 (4.66-5.91)
oligodendrocytes 0,479,0.199,81.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,1615,0.069,3.0,161,53,32.92,2.06 (1.76-2.35),108,67.08,4.09 (3.80-4.37)
oligodendrocytes 3,639,0.143,78.0,15,5,33.33,0.85 (0.13-1.56),10,66.67,4.86 (3.58-6.13)
oligodendrocytes 2,526,0.142,12.0,213,2,0.94,3.96 (NA-NA),211,99.06,3.98 (3.70-4.25)
