tipo_celular,module_size,S100B_MM,S100B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.13,23.0,98,3,3.06,2.92 (0.59-5.26),95,96.94,3.23 (2.74-3.71)
T cells 18,349,0.139,33.0,68,21,30.88,4.98 (3.83-6.14),47,69.12,4.02 (3.47-4.57)
astrocytes 5,328,0.474,97.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,628,0.372,96.0,164,5,3.05,4.75 (3.93-5.58),159,96.95,4.06 (3.72-4.39)
GABA neurons expressing GLU receptors 22,567,0.249,72.0,16,2,12.5,1.95 (NA-NA),14,87.5,1.97 (1.25-2.70)
GLU like neurons 17,637,0.307,82.0,91,19,20.88,2.20 (1.30-3.10),72,79.12,5.33 (4.87-5.79)
da like neurons 11,408,0.261,67.0,25,9,36.0,1.42 (0.83-2.00),16,64.0,6.74 (5.82-7.67)
GABA neurons expressing GABA receptors 13,288,0.107,14.0,93,34,36.56,4.80 (3.93-5.67),59,63.44,5.37 (4.78-5.96)
endothelial cells 9,916,0.164,36.0,302,4,1.32,2.54 (0.66-4.42),298,98.68,4.01 (3.78-4.23)
oligodendrocytes 20,938,0.573,100.0,169,5,2.96,2.14 (0.49-3.80),164,97.04,3.53 (3.31-3.75)
GABA like neurons 14,2402,0.252,56.0,455,16,3.52,1.71 (1.02-2.39),439,96.48,4.48 (4.30-4.66)
astrocytes 8,603,0.28,97.0,89,1,1.12,0.82 (NA-NA),88,98.88,2.79 (2.44-3.14)
oligodendrocyte progenitor cells 12,1049,0.447,98.0,235,2,0.85,4.11 (3.81-4.41),233,99.15,3.82 (3.59-4.05)
oligodendrocytes 10,236,0.429,34.0,82,15,18.29,4.05 (3.09-5.00),67,81.71,5.19 (4.61-5.78)
connective tissue cells 21,103,0.226,17.0,2,0,0.0,NA,2,100.0,3.59 (3.46-3.72)
astrocytes 15,418,0.044,23.0,54,5,9.26,3.85 (3.45-4.24),49,90.74,3.66 (3.18-4.15)
oligodendrocytes 16,153,0.318,38.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,729,0.145,47.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,89,0.268,39.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,208,0.334,85.0,173,5,2.89,5.56 (4.04-7.08),168,97.11,3.77 (3.46-4.07)
oligodendrocytes 0,546,0.402,98.0,252,16,6.35,1.67 (0.96-2.37),236,93.65,4.30 (4.06-4.54)
microglia 1,406,0.108,21.0,278,1,0.36,4.78 (NA-NA),277,99.64,4.36 (4.09-4.63)
oligodendrocytes 3,127,0.377,80.0,45,15,33.33,3.88 (3.04-4.71),30,66.67,4.83 (3.28-6.38)
oligodendrocytes 2,526,0.714,100.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
