tipo_celular,module_size,DMXL2_MM,DMXL2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.185,55.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1141.0,0.097,11.0,166,4,2.41,0.55 (0.54-0.55),162,97.59,3.43 (3.18-3.68)
oligodendrocyte progenitor cells 7,4285.0,0.132,46.0,353,13,3.68,0.86 (0.44-1.28),340,96.32,4.00 (3.83-4.18)
GABA neurons expressing GLU receptors 22,714.0,0.222,70.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,1316.0,0.079,12.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,204.0,0.239,70.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,238.0,0.11,15.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,338.0,0.127,47.0,191,10,5.24,4.07 (3.69-4.45),181,94.76,3.87 (3.63-4.11)
oligodendrocytes 20,403.0,0.06,25.0,18,6,33.33,0.60 (0.42-0.78),12,66.67,2.52 (1.72-3.31)
GABA like neurons 14,1300.0,0.085,7.0,306,8,2.61,3.04 (1.47-4.62),298,97.39,5.14 (4.88-5.41)
astrocytes 8,520.0,0.087,35.0,288,22,7.64,3.64 (3.00-4.29),266,92.36,4.22 (4.01-4.43)
oligodendrocyte progenitor cells 12,3303.0,0.116,87.0,276,4,1.45,1.38 (0.56-2.20),272,98.55,3.58 (3.37-3.80)
oligodendrocytes 10,806.0,0.115,33.0,261,19,7.28,4.09 (3.63-4.56),242,92.72,4.39 (4.13-4.65)
connective tissue cells 21,111.0,0.237,29.0,1,0,0.0,NA,1,100.0,0.40 (NA-NA)
astrocytes 15,1768.0,0.06,23.0,105,4,3.81,1.38 (0.56-2.20),101,96.19,3.29 (2.95-3.63)
oligodendrocytes 16,88.0,0.145,12.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.268,94.0,124,3,2.42,0.40 (NA-NA),121,97.58,4.23 (3.84-4.61)
astrocytes microglia 23,115.0,0.281,30.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787.0,0.151,51.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.127,77.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,346.0,0.341,95.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,457.0,0.072,22.0,345,24,6.96,3.91 (3.62-4.20),321,93.04,4.31 (4.08-4.54)
oligodendrocytes 2,921.0,0.105,8.0,200,1,0.5,2.24 (NA-NA),199,99.5,3.63 (3.36-3.90)
