tipo_celular,module_size,HSPA8_MM,HSPA8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.352,88.0,140,47,33.57,4.25 (3.82-4.68),93,66.43,4.65 (4.04-5.26)
T cells 18,282,0.314,90.0,241,47,19.5,4.20 (3.85-4.55),194,80.5,4.01 (3.70-4.32)
astrocytes 5,228,0.349,91.0,266,115,43.23,3.65 (3.33-3.97),151,56.77,4.46 (4.20-4.73)
oligodendrocyte progenitor cells 7,296,0.317,89.0,251,35,13.94,4.13 (3.77-4.49),216,86.06,4.05 (3.78-4.33)
GABA neurons expressing GLU receptors 22,848,0.472,97.0,262,106,40.46,3.70 (3.38-4.01),156,59.54,4.45 (4.11-4.79)
GLU like neurons 17,637,0.072,9.0,91,26,28.57,2.84 (2.09-3.59),65,71.43,5.55 (5.05-6.05)
da like neurons 11,1220,0.538,99.0,410,112,27.32,3.94 (3.63-4.26),298,72.68,4.37 (4.14-4.59)
GABA neurons expressing GABA receptors 13,357,0.37,96.0,237,33,13.92,4.14 (3.53-4.75),204,86.08,4.45 (4.20-4.70)
endothelial cells 9,385,0.351,97.0,275,116,42.18,2.92 (2.60-3.23),159,57.82,4.93 (4.62-5.23)
oligodendrocytes 20,322,0.141,59.0,10,1,10.0,5.51 (NA-NA),9,90.0,0.95 (0.38-1.52)
GABA like neurons 14,2402,0.646,97.0,455,136,29.89,3.51 (3.20-3.82),319,70.11,4.75 (4.53-4.96)
astrocytes 8,520,0.424,96.0,288,115,39.93,3.92 (3.65-4.19),173,60.07,4.33 (4.05-4.61)
oligodendrocyte progenitor cells 12,1049,0.179,81.0,235,50,21.28,3.99 (3.66-4.32),185,78.72,3.78 (3.50-4.06)
oligodendrocytes 10,806,0.55,98.0,261,71,27.2,3.81 (3.44-4.19),190,72.8,4.55 (4.26-4.84)
connective tissue cells 21,142,0.41,94.0,55,31,56.36,3.70 (2.58-4.82),24,43.64,2.91 (1.70-4.11)
astrocytes 15,261,0.391,99.0,8,5,62.5,2.11 (0.07-4.15),3,37.5,5.77 (3.36-8.18)
oligodendrocytes 16,313,0.425,90.0,291,90,30.93,3.85 (3.52-4.18),201,69.07,4.53 (4.25-4.82)
da neurons 6,409,0.415,100.0,235,55,23.4,3.74 (3.33-4.16),180,76.6,4.05 (3.75-4.35)
astrocytes microglia 23,70,0.38,69.0,76,7,9.21,4.48 (3.87-5.08),69,90.79,4.19 (3.65-4.73)
astrocytes 4,208,0.238,68.0,173,26,15.03,4.28 (3.40-5.16),147,84.97,3.76 (3.45-4.08)
oligodendrocytes 0,546,0.23,75.0,252,88,34.92,3.30 (2.90-3.69),164,65.08,4.56 (4.27-4.85)
microglia 1,214,0.36,89.0,227,57,25.11,4.05 (3.78-4.32),170,74.89,4.10 (3.80-4.41)
oligodendrocytes 3,457,0.359,96.0,345,105,30.43,3.83 (3.52-4.15),240,69.57,4.47 (4.21-4.74)
oligodendrocytes 2,528,0.475,97.0,175,69,39.43,4.43 (3.93-4.94),106,60.57,4.35 (3.89-4.81)
