tipo_celular,module_size,YTHDF3_MM,YTHDF3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.138,26.0,102,48,47.06,3.00 (2.59-3.42),54,52.94,3.98 (3.42-4.55)
T cells 18,610,0.125,28.0,98,27,27.55,2.09 (1.62-2.57),71,72.45,3.57 (3.22-3.92)
astrocytes 5,423,0.121,30.0,80,1,1.25,1.04 (NA-NA),79,98.75,3.44 (2.96-3.91)
oligodendrocyte progenitor cells 7,4285,0.134,49.0,353,74,20.96,2.94 (2.53-3.34),279,79.04,4.20 (4.01-4.39)
GABA neurons expressing GLU receptors 22,714,0.135,22.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,1316,0.141,66.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,197,0.163,35.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,200,0.089,5.0,34,2,5.88,3.54 (3.28-3.81),32,94.12,3.92 (2.96-4.88)
endothelial cells 9,412,0.179,50.0,141,8,5.67,3.01 (1.66-4.37),133,94.33,2.96 (2.72-3.20)
oligodendrocytes 20,295,0.183,49.0,28,3,10.71,3.00 (1.46-4.53),25,89.29,2.09 (1.61-2.56)
GABA like neurons 14,3052,0.176,79.0,125,2,1.6,4.69 (2.97-6.42),123,98.4,3.32 (3.00-3.65)
astrocytes 8,727,0.085,34.0,29,2,6.9,3.81 (NA-NA),27,93.1,2.31 (1.81-2.81)
oligodendrocyte progenitor cells 12,3303,0.037,6.0,276,49,17.75,2.52 (2.15-2.90),227,82.25,3.83 (3.59-4.08)
oligodendrocytes 10,2107,0.083,19.0,358,77,21.51,2.83 (2.45-3.21),281,78.49,4.26 (4.06-4.46)
connective tissue cells 21,111,0.335,72.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768,0.096,59.0,105,31,29.52,2.90 (2.19-3.62),74,70.48,3.34 (2.98-3.71)
oligodendrocytes 16,151,0.227,72.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,518,0.081,17.0,122,14,11.48,2.20 (1.32-3.09),108,88.52,4.23 (3.82-4.63)
astrocytes microglia 23,161,0.272,30.0,7,0,0.0,NA,7,100.0,1.58 (0.74-2.41)
astrocytes 4,787,0.161,69.0,65,2,3.08,2.85 (NA-NA),63,96.92,2.96 (2.56-3.37)
oligodendrocytes 0,2078,0.122,65.0,238,25,10.5,4.12 (3.45-4.80),213,89.5,3.57 (3.34-3.80)
microglia 1,480,0.17,40.0,163,21,12.88,3.93 (3.44-4.41),142,87.12,3.67 (3.37-3.97)
oligodendrocytes 3,743,0.088,59.0,76,6,7.89,6.11 (3.96-8.27),70,92.11,3.02 (2.65-3.40)
oligodendrocytes 2,921,0.159,83.0,200,22,11.0,4.56 (3.85-5.26),178,89.0,3.51 (3.22-3.79)
