tipo_celular,module_size,PRRC2C_MM,PRRC2C_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159,0.113,3.0,18,0,0.0,NA,18,100.0,2.04 (1.57-2.51)
T cells 18,388,0.137,44.0,84,1,1.19,4.33 (NA-NA),83,98.81,2.96 (2.63-3.29)
astrocytes 5,932,0.117,62.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.13,41.0,353,16,4.53,1.91 (1.32-2.50),337,95.47,4.00 (3.82-4.19)
GABA neurons expressing GLU receptors 22,192,0.441,94.0,55,0,0.0,NA,55,100.0,4.03 (3.61-4.44)
GLU like neurons 17,1247,0.297,98.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,142,0.223,49.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,288,0.083,3.0,93,6,6.45,3.00 (2.35-3.65),87,93.55,5.34 (4.83-5.86)
endothelial cells 9,412,0.159,41.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,358,0.157,51.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,1300,0.242,66.0,306,11,3.59,2.43 (1.74-3.11),295,96.41,5.24 (4.98-5.50)
astrocytes 8,1266,0.089,58.0,66,6,9.09,1.73 (0.83-2.63),60,90.91,3.40 (2.97-3.84)
oligodendrocyte progenitor cells 12,708,0.15,66.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,2107,0.222,75.0,358,14,3.91,1.84 (1.23-2.46),344,96.09,3.97 (3.78-4.16)
connective tissue cells 21,116,0.219,13.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,443,0.108,17.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,108,0.108,5.0,5,0,0.0,NA,5,100.0,3.97 (2.94-5.00)
da neurons 6,518,0.193,95.0,122,8,6.56,1.58 (0.89-2.28),114,93.44,4.18 (3.79-4.58)
astrocytes microglia 23,253,0.256,50.0,47,0,0.0,NA,47,100.0,2.84 (2.52-3.17)
astrocytes 4,752,0.102,3.0,96,1,1.04,3.81 (NA-NA),95,98.96,3.28 (2.95-3.62)
oligodendrocytes 0,1186,0.128,26.0,300,2,0.67,3.35 (2.44-4.26),298,99.33,3.80 (3.59-4.00)
microglia 1,480,0.155,32.0,163,0,0.0,NA,163,100.0,3.71 (3.44-3.97)
oligodendrocytes 3,357,0.38,100.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,407,0.157,54.0,122,6,4.92,1.51 (0.58-2.44),116,95.08,3.45 (3.06-3.85)
