tipo_celular,module_size,ATP5MC2_MM,ATP5MC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.287,60.0,98,7,7.14,3.15 (2.01-4.29),91,92.86,3.22 (2.71-3.73)
T cells 18,506,0.346,81.0,225,20,8.89,3.04 (2.51-3.57),205,91.11,3.69 (3.42-3.96)
astrocytes 5,328,0.155,46.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,448,0.198,79.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,848,0.172,33.0,262,12,4.58,2.87 (1.96-3.78),250,95.42,4.25 (4.00-4.50)
GLU like neurons 17,489,0.134,47.0,42,0,0.0,NA,42,100.0,5.99 (5.44-6.55)
da like neurons 11,1220,0.146,36.0,410,45,10.98,3.61 (3.35-3.86),365,89.02,4.36 (4.15-4.58)
GABA neurons expressing GABA receptors 13,67,0.371,100.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08)
endothelial cells 9,916,0.42,87.0,302,41,13.58,3.57 (3.26-3.88),261,86.42,4.08 (3.81-4.34)
oligodendrocytes 20,938,0.271,92.0,169,37,21.89,3.34 (2.99-3.70),132,78.11,3.53 (3.26-3.80)
GABA like neurons 14,2402,0.364,75.0,455,49,10.77,3.03 (2.64-3.42),406,89.23,4.57 (4.38-4.77)
astrocytes 8,603,0.133,77.0,89,5,5.62,1.56 (0.90-2.23),84,94.38,2.86 (2.49-3.23)
oligodendrocyte progenitor cells 12,1049,0.312,92.0,235,32,13.62,3.79 (3.52-4.06),203,86.38,3.83 (3.56-4.11)
oligodendrocytes 10,483,0.265,79.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,136,0.268,41.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,208,0.066,36.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,155,0.231,60.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,729,0.232,84.0,182,6,3.3,3.55 (2.67-4.43),176,96.7,3.64 (3.38-3.90)
astrocytes microglia 23,137,0.286,24.0,188,5,2.66,0.66 (0.34-0.99),183,97.34,4.49 (4.16-4.81)
astrocytes 4,1807,0.142,46.0,104,10,9.62,1.28 (0.76-1.79),94,90.38,3.05 (2.76-3.33)
oligodendrocytes 0,546,0.245,78.0,252,49,19.44,2.98 (2.58-3.39),203,80.56,4.48 (4.20-4.76)
microglia 1,406,0.318,70.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63)
oligodendrocytes 3,303,0.15,56.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526,0.403,83.0,213,36,16.9,3.87 (3.67-4.06),177,83.1,4.01 (3.66-4.36)
