tipo_celular,module_size,CRK_MM,CRK_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184,0.219,57.0,21,6,28.57,0.55 (0.29-0.81),15,71.43,3.05 (2.54-3.56)
T cells 18,477,0.151,43.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,932,0.119,66.0,80,1,1.25,4.57 (NA-NA),79,98.75,3.66 (3.24-4.07)
oligodendrocyte progenitor cells 7,4285,0.105,12.0,353,45,12.75,1.82 (1.53-2.11),308,87.25,4.29 (4.12-4.46)
GABA neurons expressing GLU receptors 22,714,0.2,60.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,1247,0.294,98.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,853,0.218,87.0,133,41,30.83,2.18 (1.79-2.58),92,69.17,3.84 (3.47-4.21)
GABA neurons expressing GABA receptors 13,75,0.193,76.0,3,0,0.0,NA,3,100.0,1.99 (1.51-2.46)
endothelial cells 9,385,0.114,59.0,275,44,16.0,1.74 (1.45-2.04),231,84.0,4.50 (4.25-4.75)
oligodendrocytes 20,358,0.044,15.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,2090,0.28,97.0,74,14,18.92,2.22 (1.97-2.48),60,81.08,3.12 (2.67-3.58)
astrocytes 8,1266,0.067,34.0,66,18,27.27,2.01 (1.34-2.68),48,72.73,3.79 (3.36-4.22)
oligodendrocyte progenitor cells 12,3303,0.028,2.0,276,32,11.59,1.89 (1.60-2.18),244,88.41,3.84 (3.61-4.06)
oligodendrocytes 10,806,0.012,1.0,261,7,2.68,2.63 (1.31-3.95),254,97.32,4.39 (4.15-4.63)
connective tissue cells 21,110,0.39,89.0,13,1,7.69,0.94 (NA-NA),12,92.31,3.30 (2.48-4.11)
astrocytes 15,443,0.097,10.0,9,2,22.22,0.95 (NA-NA),7,77.78,3.60 (2.32-4.88)
oligodendrocytes 16,90,0.288,83.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,448,0.092,37.0,43,1,2.33,3.78 (NA-NA),42,97.67,3.27 (2.73-3.80)
astrocytes microglia 23,157,0.266,27.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.14,40.0,104,19,18.27,1.53 (1.09-1.96),85,81.73,3.19 (2.90-3.48)
oligodendrocytes 0,613,0.123,28.0,127,15,11.81,2.18 (1.76-2.59),112,88.19,3.24 (2.75-3.72)
microglia 1,958,0.149,89.0,290,13,4.48,1.92 (1.50-2.33),277,95.52,3.92 (3.69-4.15)
oligodendrocytes 3,357,0.051,11.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,1630,0.137,40.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
