tipo_celular,module_size,SMARCA5_MM,SMARCA5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181,0.176,30.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,506,0.14,31.0,225,19,8.44,2.20 (1.74-2.65),206,91.56,3.80 (3.54-4.06)
astrocytes 5,1656,0.158,98.0,136,9,6.62,2.99 (1.52-4.45),127,93.38,3.23 (2.96-3.50)
oligodendrocyte progenitor cells 7,4285,0.146,67.0,353,96,27.2,2.60 (2.34-2.87),257,72.8,4.55 (4.36-4.73)
GABA neurons expressing GLU receptors 22,848,0.213,51.0,262,26,9.92,2.39 (1.92-2.85),236,90.08,4.38 (4.13-4.64)
GLU like neurons 17,637,0.109,25.0,91,14,15.38,1.71 (0.95-2.48),77,84.62,5.28 (4.83-5.73)
da like neurons 11,87,0.213,30.0,3,0,0.0,NA,3,100.0,NA
GABA neurons expressing GABA receptors 13,77,0.089,4.0,3,1,33.33,NA,2,66.67,1.59 (0.34-2.85)
endothelial cells 9,559,0.101,24.0,155,1,0.65,2.86 (NA-NA),154,99.35,4.35 (3.99-4.72)
oligodendrocytes 20,233,0.136,21.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,2402,0.27,60.0,455,37,8.13,1.97 (1.57-2.38),418,91.87,4.61 (4.43-4.79)
astrocytes 8,771,0.12,49.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708,0.113,50.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,735,0.19,85.0,277,1,0.36,NA,276,99.64,3.89 (3.65-4.14)
connective tissue cells 21,142,0.272,25.0,55,8,14.55,1.78 (0.66-2.90),47,85.45,4.07 (3.12-5.02)
astrocytes 15,338,0.183,72.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,81,0.172,47.0,3,2,66.67,NA,1,33.33,NA
da neurons 6,518,0.179,90.0,122,19,15.57,2.29 (1.73-2.86),103,84.43,4.42 (4.00-4.84)
astrocytes microglia 23,125,0.314,57.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.136,33.0,104,28,26.92,1.66 (1.37-1.96),76,73.08,3.36 (3.05-3.66)
oligodendrocytes 0,613,0.171,74.0,127,22,17.32,2.61 (2.03-3.19),105,82.68,3.21 (2.69-3.73)
microglia 1,958,0.103,37.0,290,25,8.62,2.95 (2.39-3.51),265,91.38,3.92 (3.68-4.16)
oligodendrocytes 3,357,0.057,16.0,127,14,11.02,4.34 (3.35-5.33),113,88.98,3.03 (2.69-3.37)
oligodendrocytes 2,528,0.211,56.0,175,8,4.57,2.42 (1.44-3.41),167,95.43,4.43 (4.08-4.78)
