tipo_celular,module_size,DDX46_MM,DDX46_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.129,24.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,393,0.146,47.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,1141,0.075,2.0,166,26,15.66,1.89 (1.51-2.27),140,84.34,3.71 (3.45-3.97)
oligodendrocyte progenitor cells 7,4285,0.126,35.0,353,57,16.15,2.32 (1.92-2.72),296,83.85,4.27 (4.09-4.45)
GABA neurons expressing GLU receptors 22,823,0.083,4.0,23,3,13.04,2.03 (0.03-4.04),20,86.96,2.44 (1.65-3.24)
GLU like neurons 17,300,0.208,68.0,16,7,43.75,2.62 (1.82-3.42),9,56.25,1.54 (0.08-3.00)
da like neurons 11,71,0.119,28.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,73,0.135,30.0,16,4,25.0,3.51 (2.93-4.09),12,75.0,1.75 (0.59-2.92)
endothelial cells 9,559,0.059,6.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,295,0.18,47.0,28,2,7.14,1.89 (0.99-2.80),26,92.86,2.22 (1.72-2.71)
GABA like neurons 14,2090,0.138,39.0,74,8,10.81,1.97 (1.61-2.33),66,89.19,3.04 (2.64-3.45)
astrocytes 8,727,0.095,41.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90)
oligodendrocyte progenitor cells 12,3303,0.161,100.0,276,34,12.32,2.08 (1.73-2.43),242,87.68,3.81 (3.59-4.04)
oligodendrocytes 10,2107,0.23,78.0,358,51,14.25,2.12 (1.76-2.47),307,85.75,4.26 (4.07-4.44)
connective tissue cells 21,126,0.253,30.0,7,3,42.86,1.36 (0.78-1.94),4,57.14,1.65 (-0.44-3.74)
astrocytes 15,1768,0.108,69.0,105,30,28.57,1.93 (1.58-2.28),75,71.43,3.73 (3.34-4.12)
oligodendrocytes 16,87,0.158,26.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,409,0.086,20.0,235,8,3.4,2.08 (1.38-2.79),227,96.6,4.07 (3.82-4.32)
astrocytes microglia 23,53,0.252,22.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.171,83.0,61,7,11.48,2.86 (2.18-3.54),54,88.52,2.98 (2.52-3.44)
oligodendrocytes 0,613,0.107,14.0,127,17,13.39,2.64 (2.16-3.13),110,86.61,3.14 (2.65-3.64)
microglia 1,1615,0.09,22.0,161,33,20.5,1.51 (1.19-1.82),128,79.5,3.81 (3.56-4.07)
oligodendrocytes 3,357,0.151,81.0,127,9,7.09,3.56 (3.10-4.01),118,92.91,3.08 (2.73-3.44)
oligodendrocytes 2,921,0.087,3.0,200,19,9.5,3.23 (2.84-3.62),181,90.5,3.67 (3.37-3.96)
