tipo_celular,module_size,NORAD_MM,NORAD_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184,0.161,22.0,21,0,0.0,NA,21,100.0,2.30 (1.67-2.93)
T cells 18,282,0.208,67.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31)
astrocytes 5,228,0.209,67.0,266,3,1.13,2.92 (NA-NA),263,98.87,4.12 (3.90-4.33)
oligodendrocyte progenitor cells 7,296,0.282,85.0,251,2,0.8,NA,249,99.2,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,848,0.574,100.0,262,4,1.53,2.26 (0.08-4.44),258,98.47,4.20 (3.95-4.45)
GLU like neurons 17,1316,0.213,95.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,1220,0.413,94.0,410,3,0.73,4.01 (2.93-5.09),407,99.27,4.25 (4.06-4.44)
GABA neurons expressing GABA receptors 13,238,0.39,98.0,36,1,2.78,5.10 (NA-NA),35,97.22,3.84 (3.30-4.37)
endothelial cells 9,338,0.192,71.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,358,0.119,34.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,2402,0.475,86.0,455,12,2.64,2.52 (1.52-3.52),443,97.36,4.40 (4.21-4.58)
astrocytes 8,520,0.251,80.0,288,4,1.39,3.61 (2.91-4.32),284,98.61,4.18 (3.98-4.38)
oligodendrocyte progenitor cells 12,3303,0.098,73.0,276,28,10.14,2.52 (1.96-3.08),248,89.86,3.70 (3.47-3.93)
oligodendrocytes 10,806,0.403,90.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,101,0.246,23.0,116,0,0.0,NA,116,100.0,4.61 (4.19-5.02)
astrocytes 15,1768,0.112,73.0,105,18,17.14,3.02 (2.14-3.91),87,82.86,3.26 (2.90-3.61)
oligodendrocytes 16,313,0.228,55.0,291,4,1.37,3.63 (2.62-4.63),287,98.63,4.34 (4.11-4.56)
da neurons 6,553,0.431,100.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58)
astrocytes microglia 23,127,0.228,14.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,157,0.257,71.0,178,1,0.56,4.62 (NA-NA),177,99.44,4.14 (3.87-4.41)
oligodendrocytes 0,613,0.227,95.0,127,13,10.24,2.23 (1.67-2.78),114,89.76,3.21 (2.74-3.68)
microglia 1,214,0.249,71.0,227,0,0.0,NA,227,100.0,4.09 (3.86-4.33)
oligodendrocytes 3,457,0.189,78.0,345,1,0.29,2.92 (NA-NA),344,99.71,4.28 (4.07-4.49)
oligodendrocytes 2,528,0.338,89.0,175,0,0.0,NA,175,100.0,4.38 (4.03-4.73)
