tipo_celular,module_size,GNAI2_MM,GNAI2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.227,62.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,506,0.274,73.0,225,15,6.67,2.55 (1.70-3.39),210,93.33,3.69 (3.43-3.94)
astrocytes 5,328,0.076,5.0,128,1,0.78,5.88 (NA-NA),127,99.22,3.54 (3.20-3.89)
oligodendrocyte progenitor cells 7,628,0.133,27.0,164,5,3.05,3.46 (2.13-4.79),159,96.95,4.11 (3.78-4.45)
GABA neurons expressing GLU receptors 22,1069,0.078,4.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,685,0.161,66.0,135,19,14.07,1.55 (1.13-1.97),116,85.93,3.36 (3.05-3.68)
da like neurons 11,1220,0.073,4.0,410,16,3.9,2.44 (1.35-3.53),394,96.1,4.29 (4.10-4.48)
GABA neurons expressing GABA receptors 13,200,0.124,27.0,34,1,2.94,3.65 (NA-NA),33,97.06,3.90 (2.98-4.81)
endothelial cells 9,559,0.383,90.0,155,1,0.65,5.19 (NA-NA),154,99.35,4.33 (3.96-4.70)
oligodendrocytes 20,938,0.153,63.0,169,10,5.92,2.89 (1.25-4.53),159,94.08,3.51 (3.29-3.73)
GABA like neurons 14,2402,0.18,34.0,455,28,6.15,1.97 (1.28-2.65),427,93.85,4.49 (4.31-4.67)
astrocytes 8,603,0.065,40.0,89,0,0.0,NA,89,100.0,2.76 (2.41-3.11)
oligodendrocyte progenitor cells 12,1049,0.066,30.0,235,8,3.4,3.17 (1.87-4.48),227,96.6,3.84 (3.60-4.07)
oligodendrocytes 10,483,0.18,69.0,129,3,2.33,4.46 (3.75-5.17),126,97.67,3.40 (3.00-3.80)
connective tissue cells 21,92,0.26,31.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28)
astrocytes 15,1401,0.074,39.0,96,6,6.25,2.74 (1.48-4.00),90,93.75,3.68 (3.21-4.16)
oligodendrocytes 16,156,0.287,93.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,448,0.092,38.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,111,0.245,5.0,2,0,0.0,NA,2,100.0,1.26 (-0.42-2.94)
astrocytes 4,1807,0.138,37.0,104,13,12.5,1.76 (1.20-2.33),91,87.5,3.03 (2.74-3.33)
oligodendrocytes 0,546,0.086,5.0,252,24,9.52,2.22 (1.46-2.97),228,90.48,4.31 (4.07-4.56)
microglia 1,406,0.102,17.0,278,4,1.44,4.29 (3.17-5.41),274,98.56,4.36 (4.09-4.64)
oligodendrocytes 3,303,0.117,42.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,526,0.244,45.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
