tipo_celular,module_size,PIP4P2_MM,PIP4P2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.222,61.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.091,15.0,136,1,0.74,2.91 (NA-NA),135,99.26,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.161,86.0,353,30,8.5,2.27 (1.49-3.05),323,91.5,4.06 (3.88-4.24)
GABA neurons expressing GLU receptors 22,567.0,0.209,57.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,1316.0,0.135,60.0,101,2,1.98,2.95 (2.12-3.79),99,98.02,3.05 (2.70-3.41)
da like neurons 11,197.0,0.197,50.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,93.0,0.136,32.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,586.0,0.182,43.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,295.0,0.124,22.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,2402.0,0.307,67.0,455,30,6.59,2.79 (2.19-3.39),425,93.41,4.50 (4.31-4.69)
astrocytes 8,727.0,0.099,44.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303.0,0.131,94.0,276,28,10.14,3.27 (2.36-4.18),248,89.86,3.57 (3.35-3.79)
oligodendrocytes 10,806.0,0.181,58.0,261,22,8.43,3.35 (2.89-3.81),239,91.57,4.49 (4.23-4.75)
connective tissue cells 21,111.0,0.293,56.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,367.0,0.185,76.0,17,1,5.88,2.91 (NA-NA),16,94.12,2.03 (1.01-3.05)
oligodendrocytes 16,85.0,0.16,12.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,307.0,0.101,32.0,95,8,8.42,4.34 (3.69-4.98),87,91.58,4.88 (4.42-5.35)
astrocytes microglia 23,140.0,0.283,31.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,787.0,0.166,76.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078.0,0.129,81.0,238,4,1.68,1.91 (0.74-3.08),234,98.32,3.67 (3.45-3.89)
microglia 1,1615.0,0.113,55.0,161,13,8.07,1.00 (0.51-1.48),148,91.93,3.52 (3.26-3.78)
oligodendrocytes 3,743.0,0.091,63.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.141,48.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
