tipo_celular,module_size,PSMD4_MM,PSMD4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.235,66.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,393,0.094,9.0,59,0,0.0,NA,59,100.0,3.10 (2.60-3.61)
astrocytes 5,228,0.078,2.0,266,11,4.14,1.59 (0.79-2.39),255,95.86,4.26 (4.06-4.46)
oligodendrocyte progenitor cells 7,296,0.116,12.0,251,1,0.4,4.23 (NA-NA),250,99.6,4.06 (3.83-4.30)
GABA neurons expressing GLU receptors 22,703,0.097,8.0,23,1,4.35,1.18 (NA-NA),22,95.65,2.13 (1.39-2.88)
GLU like neurons 17,1247,0.078,13.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,1220,0.191,53.0,410,21,5.12,3.19 (2.69-3.70),389,94.88,4.32 (4.13-4.51)
GABA neurons expressing GABA receptors 13,70,0.149,29.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89)
endothelial cells 9,916,0.155,34.0,302,8,2.65,3.16 (1.69-4.63),294,97.35,4.00 (3.77-4.23)
oligodendrocytes 20,253,0.108,26.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2402,0.198,41.0,455,39,8.57,2.33 (1.88-2.79),416,91.43,4.59 (4.41-4.77)
astrocytes 8,520,0.112,48.0,288,19,6.6,3.12 (2.56-3.68),269,93.4,4.26 (4.05-4.47)
oligodendrocyte progenitor cells 12,1049,0.203,85.0,235,5,2.13,4.03 (3.69-4.37),230,97.87,3.82 (3.58-4.06)
oligodendrocytes 10,735,0.198,88.0,277,5,1.81,4.03 (3.69-4.37),272,98.19,3.89 (3.65-4.14)
connective tissue cells 21,136,0.305,59.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,418,0.086,47.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,107,0.219,50.0,11,3,27.27,1.55 (0.13-2.97),8,72.73,1.46 (0.64-2.28)
da neurons 6,409,0.115,46.0,235,14,5.96,2.39 (1.67-3.11),221,94.04,4.09 (3.83-4.34)
astrocytes microglia 23,126,0.313,44.0,1,0,0.0,NA,1,100.0,5.16 (NA-NA)
astrocytes 4,1807,0.13,24.0,104,26,25.0,2.14 (1.68-2.60),78,75.0,3.13 (2.80-3.46)
oligodendrocytes 0,2078,0.084,5.0,238,4,1.68,2.04 (-1.56-5.63),234,98.32,3.65 (3.43-3.87)
microglia 1,214,0.104,15.0,227,0,0.0,NA,227,100.0,4.09 (3.86-4.33)
oligodendrocytes 3,457,0.102,42.0,345,14,4.06,3.85 (3.68-4.01),331,95.94,4.30 (4.08-4.51)
oligodendrocytes 2,526,0.144,13.0,213,3,1.41,4.03 (3.69-4.37),210,98.59,3.98 (3.70-4.26)
