tipo_celular,module_size,GLB1_MM,GLB1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.164,48.0,140,12,8.57,5.07 (2.94-7.20),128,91.43,4.48 (4.05-4.91)
T cells 18,610,0.207,85.0,98,18,18.37,1.53 (0.98-2.07),80,81.63,3.53 (3.22-3.83)
astrocytes 5,1141,0.092,8.0,166,13,7.83,1.86 (1.18-2.53),153,92.17,3.55 (3.30-3.81)
oligodendrocyte progenitor cells 7,4285,0.131,43.0,353,22,6.23,1.64 (1.15-2.13),331,93.77,4.09 (3.91-4.27)
GABA neurons expressing GLU receptors 22,400,0.184,42.0,24,9,37.5,1.33 (0.47-2.19),15,62.5,2.65 (2.15-3.15)
GLU like neurons 17,229,0.261,87.0,22,3,13.64,4.03 (4.03-4.03),19,86.36,2.28 (1.64-2.92)
da like neurons 11,289,0.202,58.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,101,0.15,39.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,1653,0.095,23.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,295,0.227,66.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052,0.133,44.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,354,0.141,61.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303,0.045,11.0,276,16,5.8,2.19 (1.67-2.71),260,94.2,3.65 (3.42-3.87)
oligodendrocytes 10,2107,0.069,13.0,358,21,5.87,1.61 (1.10-2.13),337,94.13,4.05 (3.87-4.24)
connective tissue cells 21,92,0.279,47.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401,0.088,52.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,91,0.195,47.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
da neurons 6,518,0.135,74.0,122,24,19.67,2.70 (1.87-3.54),98,80.33,4.30 (3.88-4.71)
astrocytes microglia 23,131,0.219,6.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,721,0.139,27.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,2078,0.095,15.0,238,3,1.26,2.01 (0.19-3.84),235,98.74,3.66 (3.44-3.88)
microglia 1,1615,0.091,23.0,161,19,11.8,1.48 (0.96-2.00),142,88.2,3.57 (3.31-3.84)
oligodendrocytes 3,303,0.036,1.0,154,0,0.0,NA,154,100.0,3.62 (3.30-3.94)
oligodendrocytes 2,1630,0.117,10.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
