tipo_celular,module_size,LSAMP_MM,LSAMP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.467,91.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,349,0.335,82.0,68,4,5.88,3.57 (2.38-4.76),64,94.12,4.44 (3.84-5.03)
astrocytes 5,222,0.239,65.0,98,2,2.04,3.40 (1.50-5.30),96,97.96,4.63 (4.22-5.04)
oligodendrocyte progenitor cells 7,200,0.139,33.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04)
GABA neurons expressing GLU receptors 22,459,0.375,96.0,165,5,3.03,2.65 (2.38-2.93),160,96.97,5.18 (4.83-5.52)
GLU like neurons 17,795,0.274,91.0,80,3,3.75,3.14 (1.94-4.35),77,96.25,5.82 (5.42-6.22)
da like neurons 11,289,0.295,88.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,288,0.126,23.0,93,7,7.53,3.39 (2.69-4.09),86,92.47,5.34 (4.82-5.86)
endothelial cells 9,450,0.403,79.0,74,1,1.35,4.85 (NA-NA),73,98.65,5.48 (4.91-6.04)
oligodendrocytes 20,228,0.248,68.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45)
GABA like neurons 14,1300,0.204,49.0,306,11,3.59,2.99 (2.37-3.61),295,96.41,5.21 (4.94-5.48)
astrocytes 8,354,0.491,100.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,411,0.104,50.0,103,1,0.97,2.43 (NA-NA),102,99.03,5.59 (5.20-5.97)
oligodendrocytes 10,204,0.332,27.0,92,2,2.17,2.53 (2.34-2.73),90,97.83,5.82 (5.36-6.28)
connective tissue cells 21,250,0.689,92.0,117,9,7.69,3.05 (2.33-3.77),108,92.31,5.65 (5.25-6.04)
astrocytes 15,1768,0.163,95.0,105,2,1.9,1.25 (-0.12-2.62),103,98.1,3.25 (2.92-3.59)
oligodendrocytes 16,149,0.362,89.0,70,0,0.0,NA,70,100.0,5.65 (5.18-6.12)
da neurons 6,553,0.173,75.0,124,0,0.0,NA,124,100.0,4.18 (3.79-4.58)
astrocytes microglia 23,166,0.471,97.0,7,2,28.57,2.53 (2.34-2.73),5,71.43,5.03 (4.70-5.36)
astrocytes 4,220,0.2,70.0,63,6,9.52,3.52 (2.74-4.29),57,90.48,5.36 (4.76-5.96)
oligodendrocytes 0,309,0.225,92.0,30,0,0.0,NA,30,100.0,6.09 (5.49-6.69)
microglia 1,127,0.404,86.0,24,2,8.33,2.53 (2.34-2.73),22,91.67,5.48 (4.84-6.12)
oligodendrocytes 3,99,0.129,8.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19)
oligodendrocytes 2,348,0.323,86.0,114,8,7.02,3.27 (2.62-3.92),106,92.98,5.32 (4.89-5.74)
