tipo_celular,module_size,PPP1R12A_MM,PPP1R12A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.138,34.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,388,0.131,39.0,84,8,9.52,2.41 (2.26-2.55),76,90.48,3.04 (2.68-3.40)
astrocytes 5,1141,0.176,94.0,166,39,23.49,2.15 (1.86-2.44),127,76.51,3.85 (3.57-4.13)
oligodendrocyte progenitor cells 7,628,0.087,3.0,164,1,0.61,1.29 (NA-NA),163,99.39,4.11 (3.78-4.43)
GABA neurons expressing GLU receptors 22,1069,0.121,19.0,37,4,10.81,2.06 (1.60-2.51),33,89.19,2.17 (1.65-2.69)
GLU like neurons 17,380,0.118,14.0,39,1,2.56,1.71 (NA-NA),38,97.44,3.00 (2.44-3.56)
da like neurons 11,265,0.322,91.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,90,0.231,90.0,4,0,0.0,NA,4,100.0,5.34 (2.61-8.07)
endothelial cells 9,303,0.235,64.0,54,10,18.52,5.59 (4.58-6.59),44,81.48,4.64 (3.91-5.37)
oligodendrocytes 20,322,0.174,70.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,1300,0.162,28.0,306,21,6.86,2.84 (2.09-3.59),285,93.14,5.34 (5.08-5.59)
astrocytes 8,260,0.227,90.0,4,2,50.0,1.10 (-0.55-2.76),2,50.0,3.78 (NA-NA)
oligodendrocyte progenitor cells 12,254,0.277,48.0,37,2,5.41,2.53 (2.34-2.73),35,94.59,4.63 (4.04-5.22)
oligodendrocytes 10,2107,0.294,89.0,358,74,20.67,2.08 (1.85-2.31),284,79.33,4.51 (4.34-4.69)
connective tissue cells 21,152,0.231,34.0,21,3,14.29,7.00 (7.00-7.00),18,85.71,4.63 (3.04-6.23)
astrocytes 15,443,0.16,56.0,9,3,33.33,2.04 (-0.10-4.18),6,66.67,3.68 (2.17-5.18)
oligodendrocytes 16,87,0.16,34.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518,0.094,32.0,122,11,9.02,1.10 (0.71-1.49),111,90.98,4.38 (4.01-4.75)
astrocytes microglia 23,91,0.189,15.0,3,0,0.0,NA,3,100.0,4.26 (NA-NA)
astrocytes 4,752,0.186,93.0,96,15,15.62,2.81 (2.22-3.40),81,84.38,3.39 (3.01-3.76)
oligodendrocytes 0,1186,0.157,71.0,300,16,5.33,3.53 (3.10-3.95),284,94.67,3.81 (3.59-4.03)
microglia 1,1615,0.162,94.0,161,59,36.65,2.08 (1.82-2.34),102,63.35,4.18 (3.88-4.48)
oligodendrocytes 3,1003,0.124,73.0,111,1,0.9,2.71 (NA-NA),110,99.1,3.31 (2.96-3.65)
oligodendrocytes 2,804,0.151,51.0,84,13,15.48,2.13 (1.27-2.99),71,84.52,2.80 (2.44-3.16)
