tipo_celular,module_size,MPC1_MM,MPC1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.112,18.0,71,1,1.41,0.21 (NA-NA),70,98.59,2.66 (2.25-3.07)
T cells 18,349,0.08,9.0,68,3,4.41,2.05 (2.00-2.10),65,95.59,4.51 (3.95-5.08)
astrocytes 5,322,0.116,19.0,58,0,0.0,NA,58,100.0,4.17 (3.75-4.60)
oligodendrocyte progenitor cells 7,4285,0.147,68.0,353,14,3.97,1.02 (0.63-1.40),339,96.03,4.04 (3.87-4.22)
GABA neurons expressing GLU receptors 22,192,0.071,8.0,55,1,1.82,2.37 (NA-NA),54,98.18,4.06 (3.64-4.48)
GLU like neurons 17,1316,0.163,80.0,101,1,0.99,2.12 (NA-NA),100,99.01,3.06 (2.71-3.42)
da like neurons 11,71,0.088,12.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,266,0.234,82.0,118,2,1.69,3.18 (2.06-4.30),116,98.31,4.77 (4.41-5.13)
endothelial cells 9,450,0.087,9.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,938,0.221,85.0,169,9,5.33,1.75 (1.22-2.28),160,94.67,3.60 (3.38-3.82)
GABA like neurons 14,3052,0.175,79.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,262,0.095,25.0,11,0,0.0,NA,11,100.0,1.91 (1.09-2.74)
oligodendrocyte progenitor cells 12,3303,0.121,90.0,276,8,2.9,1.67 (1.24-2.11),268,97.1,3.62 (3.40-3.84)
oligodendrocytes 10,1277,0.048,11.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,84,0.209,26.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60)
astrocytes 15,1768,0.058,20.0,105,6,5.71,1.18 (0.58-1.77),99,94.29,3.35 (3.01-3.68)
oligodendrocytes 16,121,0.13,0.0,3,0,0.0,NA,3,100.0,2.94 (1.35-4.53)
da neurons 6,729,0.076,11.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,103,0.284,34.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514,0.135,17.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,546,0.143,33.0,252,17,6.75,1.33 (0.94-1.72),235,93.25,4.36 (4.13-4.60)
microglia 1,958,0.102,36.0,290,2,0.69,2.03 (1.97-2.09),288,99.31,3.83 (3.60-4.06)
oligodendrocytes 3,743,0.084,54.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,528,0.211,57.0,175,3,1.71,1.81 (1.30-2.32),172,98.29,4.45 (4.10-4.80)
