tipo_celular,module_size,EIF4E_MM,EIF4E_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184,0.185,37.0,21,11,52.38,1.44 (0.81-2.07),10,47.62,3.35 (2.64-4.06)
T cells 18,624,0.162,58.0,142,8,5.63,3.86 (3.20-4.53),134,94.37,3.16 (2.88-3.44)
astrocytes 5,1656,0.107,36.0,136,9,6.62,2.12 (1.32-2.92),127,93.38,3.30 (3.02-3.58)
oligodendrocyte progenitor cells 7,4285,0.171,94.0,353,69,19.55,2.78 (2.29-3.26),284,80.45,4.20 (4.02-4.37)
GABA neurons expressing GLU receptors 22,848,0.162,28.0,262,28,10.69,3.09 (2.33-3.84),234,89.31,4.27 (4.01-4.52)
GLU like neurons 17,1316,0.046,1.0,101,1,0.99,2.93 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,153,0.231,48.0,2,0,0.0,NA,2,100.0,5.80 (NA-NA)
GABA neurons expressing GABA receptors 13,77,0.165,48.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,1653,0.077,11.0,297,17,5.72,4.57 (3.97-5.18),280,94.28,3.60 (3.39-3.81)
oligodendrocytes 20,250,0.159,40.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,3052,0.16,68.0,125,4,3.2,5.30 (4.42-6.19),121,96.8,3.27 (2.95-3.60)
astrocytes 8,727,0.138,68.0,29,1,3.45,NA,28,96.55,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,1049,0.045,13.0,235,16,6.81,3.60 (2.89-4.30),219,93.19,3.84 (3.60-4.08)
oligodendrocytes 10,2107,0.116,36.0,358,75,20.95,2.71 (2.27-3.14),283,79.05,4.25 (4.07-4.43)
connective tissue cells 21,96,0.302,63.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,367,0.174,71.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,104,0.198,38.0,1,1,100.0,0.26 (NA-NA),0,0.0,NA
da neurons 6,553,0.095,25.0,124,2,1.61,0.40 (NA-NA),122,98.39,4.23 (3.84-4.61)
astrocytes microglia 23,110,0.336,65.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.145,51.0,104,27,25.96,1.89 (1.43-2.35),77,74.04,3.20 (2.90-3.51)
oligodendrocytes 0,2078,0.114,50.0,238,15,6.3,4.56 (3.51-5.60),223,93.7,3.56 (3.34-3.78)
microglia 1,958,0.181,97.0,290,37,12.76,3.82 (3.12-4.52),253,87.24,3.81 (3.57-4.05)
oligodendrocytes 3,743,0.057,16.0,76,6,7.89,3.77 (2.33-5.22),70,92.11,3.12 (2.71-3.53)
oligodendrocytes 2,1630,0.137,39.0,154,4,2.6,2.64 (2.56-2.72),150,97.4,3.26 (2.99-3.54)
