tipo_celular,module_size,TMBIM6_MM,TMBIM6_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.211,60.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,506,0.188,52.0,225,27,12.0,3.22 (2.60-3.84),198,88.0,3.69 (3.42-3.96)
astrocytes 5,328,0.199,65.0,128,12,9.38,5.44 (4.76-6.11),116,90.62,3.30 (2.96-3.64)
oligodendrocyte progenitor cells 7,628,0.301,90.0,164,8,4.88,3.01 (2.23-3.78),156,95.12,4.15 (3.81-4.49)
GABA neurons expressing GLU receptors 22,848,0.447,95.0,262,21,8.02,3.34 (2.51-4.16),241,91.98,4.25 (3.99-4.50)
GLU like neurons 17,685,0.106,32.0,135,42,31.11,3.15 (2.59-3.72),93,68.89,3.21 (2.85-3.57)
da like neurons 11,1220,0.228,65.0,410,32,7.8,3.98 (3.30-4.66),378,92.2,4.28 (4.08-4.47)
GABA neurons expressing GABA receptors 13,265,0.112,18.0,78,13,16.67,3.70 (3.05-4.34),65,83.33,4.54 (4.05-5.03)
endothelial cells 9,559,0.265,77.0,155,1,0.65,5.19 (NA-NA),154,99.35,4.33 (3.96-4.70)
oligodendrocytes 20,358,0.09,27.0,31,5,16.13,3.58 (3.19-3.96),26,83.87,2.12 (1.66-2.57)
GABA like neurons 14,2402,0.375,76.0,455,37,8.13,2.90 (2.15-3.65),418,91.87,4.51 (4.34-4.69)
astrocytes 8,603,0.146,80.0,89,9,10.11,2.05 (0.99-3.11),80,89.89,2.87 (2.51-3.24)
oligodendrocyte progenitor cells 12,1049,0.118,63.0,235,11,4.68,3.78 (2.79-4.77),224,95.32,3.83 (3.59-4.07)
oligodendrocytes 10,735,0.22,92.0,277,6,2.17,6.69 (6.30-7.09),271,97.83,3.82 (3.58-4.06)
connective tissue cells 21,142,0.367,80.0,55,12,21.82,3.11 (1.71-4.51),43,78.18,3.65 (2.60-4.70)
astrocytes 15,261,0.083,14.0,8,2,25.0,0.32 (0.20-0.45),6,75.0,5.02 (3.40-6.64)
oligodendrocytes 16,86,0.126,11.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,307,0.109,39.0,95,2,2.11,3.53 (2.33-4.72),93,97.89,4.88 (4.44-5.33)
astrocytes microglia 23,80,0.311,38.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.141,30.0,61,1,1.64,3.00 (NA-NA),60,98.36,2.97 (2.55-3.38)
oligodendrocytes 0,546,0.212,69.0,252,35,13.89,2.69 (1.94-3.44),217,86.11,4.36 (4.13-4.60)
microglia 1,406,0.242,60.0,278,17,6.12,5.58 (4.79-6.38),261,93.88,4.26 (3.97-4.54)
oligodendrocytes 3,743,0.196,97.0,76,8,10.53,4.81 (3.79-5.84),68,89.47,2.94 (2.54-3.34)
oligodendrocytes 2,528,0.443,96.0,175,22,12.57,4.50 (3.76-5.24),153,87.43,4.35 (3.96-4.75)
