tipo_celular,module_size,VCP_MM,VCP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178,0.218,50.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,282,0.144,44.0,241,44,18.26,4.61 (4.14-5.07),197,81.74,3.91 (3.62-4.20)
astrocytes 5,228,0.13,26.0,266,114,42.86,3.61 (3.31-3.92),152,57.14,4.52 (4.25-4.80)
oligodendrocyte progenitor cells 7,296,0.194,58.0,251,48,19.12,4.10 (3.85-4.35),203,80.88,4.06 (3.77-4.34)
GABA neurons expressing GLU receptors 22,848,0.299,76.0,262,96,36.64,3.73 (3.43-4.03),166,63.36,4.42 (4.08-4.77)
GLU like neurons 17,1316,0.149,72.0,101,11,10.89,3.94 (2.98-4.90),90,89.11,2.95 (2.59-3.32)
da like neurons 11,1220,0.273,76.0,410,138,33.66,4.04 (3.81-4.27),272,66.34,4.38 (4.11-4.65)
GABA neurons expressing GABA receptors 13,265,0.12,28.0,78,18,23.08,3.84 (3.11-4.56),60,76.92,4.55 (4.06-5.04)
endothelial cells 9,559,0.178,58.0,155,8,5.16,5.73 (3.76-7.70),147,94.84,4.28 (3.92-4.65)
oligodendrocytes 20,279,0.113,14.0,16,2,12.5,3.83 (3.16-4.50),14,87.5,2.16 (1.37-2.96)
GABA like neurons 14,2402,0.244,54.0,455,162,35.6,3.79 (3.53-4.06),293,64.4,4.74 (4.50-4.99)
astrocytes 8,520,0.162,63.0,288,119,41.32,3.84 (3.60-4.09),169,58.68,4.43 (4.14-4.72)
oligodendrocyte progenitor cells 12,708,0.105,48.0,32,16,50.0,1.97 (1.31-2.63),16,50.0,4.72 (3.59-5.85)
oligodendrocytes 10,735,0.217,92.0,277,46,16.61,5.12 (4.63-5.61),231,83.39,3.62 (3.36-3.88)
connective tissue cells 21,142,0.332,58.0,55,18,32.73,3.42 (2.16-4.68),37,67.27,3.41 (2.25-4.57)
astrocytes 15,268,0.032,3.0,10,3,30.0,2.54 (1.92-3.15),7,70.0,4.38 (1.80-6.97)
oligodendrocytes 16,313,0.208,46.0,291,64,21.99,3.88 (3.46-4.30),227,78.01,4.44 (4.19-4.70)
da neurons 6,300,0.225,70.0,159,10,6.29,5.67 (4.06-7.28),149,93.71,4.33 (4.02-4.64)
astrocytes microglia 23,131,0.279,39.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.145,37.0,61,8,13.11,3.27 (2.56-3.98),53,86.89,2.92 (2.45-3.38)
oligodendrocytes 0,613,0.119,24.0,127,33,25.98,3.05 (2.51-3.58),94,74.02,3.05 (2.49-3.62)
microglia 1,214,0.129,26.0,227,57,25.11,3.80 (3.64-3.96),170,74.89,4.20 (3.88-4.52)
oligodendrocytes 3,457,0.105,43.0,345,99,28.7,4.04 (3.74-4.34),246,71.3,4.37 (4.11-4.64)
oligodendrocytes 2,528,0.259,76.0,175,63,36.0,4.56 (4.07-5.05),112,64.0,4.27 (3.80-4.75)
