tipo_celular,module_size,MT-ND1_MM,MT-ND1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.149,32.0,73,3,4.11,4.91 (NA-NA),70,95.89,3.54 (3.19-3.89)
T cells 18,282,0.078,9.0,241,29,12.03,3.63 (3.40-3.87),212,87.97,4.14 (3.85-4.44)
astrocytes 5,228,0.202,63.0,266,68,25.56,3.35 (3.02-3.68),198,74.44,4.50 (4.25-4.74)
oligodendrocyte progenitor cells 7,296,0.164,38.0,251,33,13.15,3.69 (3.50-3.88),218,86.85,4.15 (3.87-4.44)
GABA neurons expressing GLU receptors 22,192,0.824,99.0,55,43,78.18,3.94 (3.58-4.29),12,21.82,4.41 (2.73-6.10)
GLU like neurons 17,637,0.189,60.0,91,13,14.29,1.15 (0.64-1.67),78,85.71,5.27 (4.85-5.70)
da like neurons 11,1220,0.271,75.0,410,79,19.27,3.80 (3.54-4.07),331,80.73,4.39 (4.16-4.62)
GABA neurons expressing GABA receptors 13,238,0.288,90.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,338,0.208,74.0,191,6,3.14,2.69 (2.27-3.11),185,96.86,3.93 (3.71-4.16)
oligodendrocytes 20,676,0.071,30.0,110,2,1.82,1.99 (1.51-2.46),108,98.18,5.07 (4.63-5.52)
GABA like neurons 14,1300,0.088,7.0,306,7,2.29,1.73 (1.12-2.34),299,97.71,5.21 (4.95-5.47)
astrocytes 8,47,0.714,90.0,76,24,31.58,4.06 (3.39-4.74),52,68.42,4.01 (3.68-4.34)
oligodendrocyte progenitor cells 12,708,0.136,60.0,25,3,12.0,2.08 (0.04-4.13),22,88.0,3.00 (1.91-4.09)
oligodendrocytes 10,806,0.38,88.0,261,41,15.71,3.74 (3.34-4.14),220,84.29,4.52 (4.24-4.80)
connective tissue cells 21,84,0.094,0.0,4,0,0.0,NA,4,100.0,4.34 (4.07-4.60)
astrocytes 15,418,0.578,97.0,54,22,40.74,3.55 (3.03-4.06),32,59.26,3.78 (3.12-4.44)
oligodendrocytes 16,149,0.358,88.0,70,1,1.43,NA,69,98.57,5.65 (5.18-6.12)
da neurons 6,553,0.334,98.0,124,5,4.03,2.37 (0.94-3.80),119,95.97,4.27 (3.87-4.67)
astrocytes microglia 23,46,0.761,92.0,73,65,89.04,3.90 (3.62-4.18),8,10.96,6.54 (5.58-7.51)
astrocytes 4,157,0.491,97.0,178,69,38.76,3.45 (3.12-3.78),109,61.24,4.81 (4.45-5.17)
oligodendrocytes 0,116,0.569,97.0,169,11,6.51,3.03 (2.63-3.43),158,93.49,4.39 (4.07-4.70)
microglia 1,214,0.237,68.0,227,66,29.07,3.80 (3.55-4.06),161,70.93,4.26 (3.92-4.60)
oligodendrocytes 3,32,0.765,84.0,81,71,87.65,3.90 (3.62-4.18),10,12.35,5.61 (4.17-7.06)
oligodendrocytes 2,99,0.54,95.0,116,10,8.62,2.97 (2.61-3.32),106,91.38,4.07 (3.75-4.39)
