tipo_celular,module_size,RIF1_MM,RIF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.159,51.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,624,0.219,89.0,142,6,4.23,4.23 (3.20-5.26),136,95.77,3.16 (2.88-3.43)
astrocytes 5,1141,0.151,77.0,166,45,27.11,2.50 (2.16-2.84),121,72.89,3.82 (3.52-4.12)
oligodendrocyte progenitor cells 7,4285,0.144,64.0,353,75,21.25,2.61 (2.29-2.94),278,78.75,4.37 (4.18-4.55)
GABA neurons expressing GLU receptors 22,487,0.094,5.0,73,5,6.85,1.47 (1.37-1.56),68,93.15,2.87 (2.46-3.27)
GLU like neurons 17,1247,0.091,19.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,120,0.341,74.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,73,0.182,63.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17)
endothelial cells 9,1653,0.141,61.0,297,15,5.05,3.97 (3.38-4.56),282,94.95,3.66 (3.44-3.87)
oligodendrocytes 20,233,0.16,32.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,3052,0.18,83.0,125,3,2.4,3.61 (2.66-4.55),122,97.6,3.34 (3.01-3.68)
astrocytes 8,771,0.086,34.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708,0.105,46.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,2107,0.208,71.0,358,92,25.7,2.68 (2.39-2.98),266,74.3,4.45 (4.25-4.65)
connective tissue cells 21,106,0.172,3.0,4,2,50.0,4.95 (4.95-4.95),2,50.0,5.06 (NA-NA)
astrocytes 15,367,0.165,66.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,113,0.19,63.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,518,0.132,71.0,122,10,8.2,1.23 (0.77-1.70),112,91.8,4.32 (3.94-4.70)
astrocytes microglia 23,161,0.217,4.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.135,21.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186,0.19,97.0,300,23,7.67,3.78 (3.41-4.15),277,92.33,3.79 (3.57-4.02)
microglia 1,1615,0.102,39.0,161,63,39.13,2.53 (2.19-2.88),98,60.87,3.95 (3.61-4.28)
oligodendrocytes 3,357,0.145,79.0,127,5,3.94,4.62 (4.62-4.62),122,96.06,3.09 (2.76-3.42)
oligodendrocytes 2,921,0.153,76.0,200,10,5.0,3.00 (2.23-3.76),190,95.0,3.66 (3.38-3.94)
