tipo_celular,module_size,OSBPL9_MM,OSBPL9_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.235,79.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58)
T cells 18,349,0.127,27.0,68,0,0.0,NA,68,100.0,4.37 (3.81-4.93)
astrocytes 5,1141,0.142,67.0,166,5,3.01,0.61 (0.36-0.86),161,96.99,3.50 (3.25-3.74)
oligodendrocyte progenitor cells 7,4285,0.162,87.0,353,16,4.53,1.20 (0.69-1.71),337,95.47,4.06 (3.88-4.23)
GABA neurons expressing GLU receptors 22,567,0.194,51.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,1316,0.128,54.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,200,0.224,63.0,8,0,0.0,NA,8,100.0,NA
GABA neurons expressing GABA receptors 13,288,0.117,18.0,93,0,0.0,NA,93,100.0,5.15 (4.65-5.64)
endothelial cells 9,1653,0.172,80.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,676,0.228,45.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,1300,0.195,45.0,306,5,1.63,2.06 (0.84-3.28),301,98.37,5.17 (4.91-5.43)
astrocytes 8,771,0.108,45.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708,0.197,76.0,25,2,8.0,2.75 (-2.23-7.72),23,92.0,2.88 (1.87-3.89)
oligodendrocytes 10,130,0.575,83.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,183,0.206,23.0,32,0,0.0,NA,32,100.0,5.12 (4.48-5.76)
astrocytes 15,443,0.115,22.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,153,0.236,15.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,398,0.123,36.0,138,4,2.9,1.91 (0.20-3.62),134,97.1,4.93 (4.56-5.29)
astrocytes microglia 23,190,0.201,9.0,7,0,0.0,NA,7,100.0,4.84 (3.75-5.92)
astrocytes 4,514,0.139,20.0,95,3,3.16,4.78 (4.78-4.78),92,96.84,3.31 (2.88-3.74)
oligodendrocytes 0,1186,0.146,52.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,1615,0.121,65.0,161,15,9.32,1.13 (0.60-1.65),146,90.68,3.55 (3.29-3.80)
oligodendrocytes 3,44,0.222,38.0,0,0,0.0,NA,0,0.0,NA
oligodendrocytes 2,804,0.191,85.0,84,3,3.57,0.66 (0.21-1.11),81,96.43,2.78 (2.45-3.12)
