tipo_celular,module_size,SREBF2_MM,SREBF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.133,24.0,73,1,1.37,3.61 (NA-NA),72,98.63,3.56 (3.21-3.91)
T cells 18,349,0.162,44.0,68,6,8.82,1.47 (0.97-1.98),62,91.18,4.75 (4.21-5.28)
astrocytes 5,423,0.15,49.0,80,2,2.5,2.78 (-0.63-6.19),78,97.5,3.42 (2.94-3.90)
oligodendrocyte progenitor cells 7,448,0.142,51.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,400,0.131,13.0,24,17,70.83,2.08 (1.38-2.78),7,29.17,2.34 (1.91-2.77)
GLU like neurons 17,380,0.123,18.0,39,6,15.38,3.86 (2.19-5.53),33,84.62,2.79 (2.22-3.35)
da like neurons 11,853,0.232,91.0,133,58,43.61,2.39 (2.08-2.69),75,56.39,4.17 (3.72-4.61)
GABA neurons expressing GABA receptors 13,288,0.179,53.0,93,3,3.23,0.90 (0.75-1.04),90,96.77,5.33 (4.87-5.80)
endothelial cells 9,450,0.108,15.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,253,0.133,36.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,1300,0.147,22.0,306,23,7.52,2.38 (1.95-2.81),283,92.48,5.43 (5.18-5.69)
astrocytes 8,577,0.095,58.0,83,5,6.02,2.60 (1.27-3.93),78,93.98,3.30 (2.83-3.78)
oligodendrocyte progenitor cells 12,103,0.385,21.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31)
oligodendrocytes 10,2107,0.201,69.0,358,89,24.86,2.58 (2.28-2.88),269,75.14,4.50 (4.31-4.68)
connective tissue cells 21,104,0.17,0.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,261,0.17,60.0,8,4,50.0,1.87 (0.12-3.62),4,50.0,6.09 (4.30-7.88)
oligodendrocytes 16,84,0.181,52.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50)
da neurons 6,398,0.103,24.0,138,22,15.94,2.43 (1.92-2.93),116,84.06,5.38 (5.02-5.73)
astrocytes microglia 23,112,0.221,9.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514,0.145,24.0,95,7,7.37,2.78 (0.88-4.69),88,92.63,3.43 (3.01-3.85)
oligodendrocytes 0,1186,0.149,58.0,300,23,7.67,3.43 (3.04-3.82),277,92.33,3.83 (3.61-4.05)
microglia 1,958,0.126,72.0,290,30,10.34,3.39 (2.69-4.10),260,89.66,3.87 (3.63-4.11)
oligodendrocytes 3,187,0.128,65.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,407,0.159,55.0,122,76,62.3,2.61 (2.29-2.92),46,37.7,5.76 (5.16-6.36)
