tipo_celular,module_size,HERPUD1_MM,HERPUD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.16,36.0,102,42,41.18,3.10 (2.66-3.54),60,58.82,3.81 (3.27-4.34)
T cells 18,518,0.222,84.0,131,3,2.29,4.78 (3.42-6.14),128,97.71,3.03 (2.75-3.31)
astrocytes 5,423,0.257,90.0,80,3,3.75,4.94 (1.12-8.77),77,96.25,3.33 (2.86-3.80)
oligodendrocyte progenitor cells 7,628,0.122,19.0,164,7,4.27,3.46 (2.75-4.17),157,95.73,4.12 (3.78-4.47)
GABA neurons expressing GLU receptors 22,400,0.421,98.0,24,16,66.67,2.11 (1.38-2.83),8,33.33,2.25 (1.71-2.80)
GLU like neurons 17,685,0.059,6.0,135,47,34.81,3.24 (2.77-3.71),88,65.19,3.15 (2.75-3.56)
da like neurons 11,1220,0.161,43.0,410,47,11.46,4.11 (3.68-4.53),363,88.54,4.27 (4.06-4.48)
GABA neurons expressing GABA receptors 13,90,0.095,5.0,4,2,50.0,2.99 (1.51-4.47),2,50.0,7.70 (7.70-7.70)
endothelial cells 9,559,0.339,87.0,155,1,0.65,3.13 (NA-NA),154,99.35,4.35 (3.98-4.72)
oligodendrocytes 20,250,0.181,53.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402,0.255,57.0,455,54,11.87,3.76 (3.20-4.31),401,88.13,4.45 (4.26-4.65)
astrocytes 8,577,0.175,87.0,83,7,8.43,4.16 (2.16-6.16),76,91.57,3.14 (2.70-3.59)
oligodendrocyte progenitor cells 12,1049,0.079,40.0,235,9,3.83,4.15 (3.09-5.21),226,96.17,3.81 (3.57-4.04)
oligodendrocytes 10,483,0.08,31.0,129,1,0.78,3.96 (NA-NA),128,99.22,3.42 (3.03-3.82)
connective tissue cells 21,114,0.223,17.0,11,1,9.09,0.40 (NA-NA),10,90.91,1.74 (0.59-2.89)
astrocytes 15,338,0.149,51.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,155,0.176,29.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,518,0.105,45.0,122,39,31.97,3.03 (2.58-3.48),83,68.03,4.68 (4.15-5.21)
astrocytes microglia 23,327,0.307,42.0,120,43,35.83,3.04 (2.55-3.54),77,64.17,4.05 (3.71-4.38)
astrocytes 4,514,0.303,86.0,95,7,7.37,2.90 (0.85-4.95),88,92.63,3.42 (3.00-3.84)
oligodendrocytes 0,546,0.115,18.0,252,40,15.87,3.35 (2.68-4.02),212,84.13,4.28 (4.03-4.53)
microglia 1,406,0.152,40.0,278,21,7.55,5.62 (4.94-6.31),257,92.45,4.22 (3.94-4.51)
oligodendrocytes 3,743,0.054,12.0,76,8,10.53,4.81 (3.79-5.84),68,89.47,2.94 (2.54-3.34)
oligodendrocytes 2,528,0.203,52.0,175,19,10.86,4.17 (3.34-5.00),156,89.14,4.42 (4.03-4.81)
